Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Status,Vibration resistant,Weight (g)
16,680,0.234,8,8,16,-55,105,0.12,2000,1088,1600,RNL1C681MDS1,Uni-Polar,Radial Lead,Large Sized Hi-Cap.,7000,MP,Normal,1.33
16,820,0.194,8,8,16,-55,105,0.12,2000,1312,1600,RNL1C821MDS6,Uni-Polar,Radial Lead,Large Sized Hi-Cap.,7000,MP,Normal,1.33
16,820,0.194,8,8,16,-55,105,0.12,5000,1312,1600,RNL1C821MDSBSQ,Uni-Polar,Radial Lead,Large Sized Hi-Cap.,7000,MP,Normal,1.33
16,820,0.194,8,8,20,-55,105,0.12,2000,1312,1200,RNL1C821MDS1,Uni-Polar,Radial Lead,Large Sized Hi-Cap.,7500,MP,Normal,1.47
16,820,0.194,8,8,20,-55,105,0.12,5000,1312,1200,RNL1C821MDSASQ,Uni-Polar,Radial Lead,Large Sized Hi-Cap.,7500,MP,Normal,1.47
16,1000,0.159,8,8,20,-55,105,0.12,2000,1600,1200,RNL1C102MDS1,Uni-Polar,Radial Lead,Large Sized Hi-Cap.,7500,MP,Normal,1.47
16,1000,0.159,8,8,20,-55,105,0.12,5000,1600,1200,RNL1C102MDSASQ,Uni-Polar,Radial Lead,Large Sized Hi-Cap.,7500,MP,Normal,1.47
16,1000,0.159,8,10,16,-55,105,0.12,2000,1600,1200,RNL1C102MDS4,Uni-Polar,Radial Lead,Large Sized Hi-Cap.,7700,MP,Normal,1.73
16,1000,0.159,8,10,16,-55,105,0.12,5000,1600,1200,RNL1C102MDSBSQ,Uni-Polar,Radial Lead,Large Sized Hi-Cap.,7700,MP,Normal,1.73
16,1200,0.133,8,8,20,-55,105,0.12,2000,1920,1200,RNL1C122MDS1,Uni-Polar,Radial Lead,Large Sized Hi-Cap.,7500,MP,Normal,1.47
16,1200,0.133,8,8,20,-55,105,0.12,5000,1920,1200,RNL1C122MDSASQ,Uni-Polar,Radial Lead,Large Sized Hi-Cap.,7500,MP,Normal,1.47
16,1200,0.133,8,10,16,-55,105,0.12,2000,1920,1200,RNL1C122MDS4,Uni-Polar,Radial Lead,Large Sized Hi-Cap.,7700,MP,Normal,1.73
