Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Status,Vibration resistant,Weight (g)
2.5,1500,0.071,7,8,11.5,-55,105,0.08,2000,937,2000,RNU0E152MCN1,Uni-Polar,Radial Lead,Hi-Cap.,4700,MP,Normal,0.93
2.5,1500,0.071,7,8,11.5,-55,105,0.08,2000,937,2000,RNU0E152MDN1,Uni-Polar,Radial Lead,Hi-Cap.,4700,MP,Normal,0.93
2.5,2700,0.039,7,10,12.5,-55,105,0.08,2000,1350,1600,RNU0E272MDN1,Uni-Polar,Radial Lead,Hi-Cap.,6100,MP,Normal,1.35
4,820,0.129,7,8,11.5,-55,105,0.08,2000,656,2000,RNU0G821MCN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
4,820,0.129,7,8,11.5,-55,105,0.08,2000,656,2000,RNU0G821MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
4,1000,0.106,7,8,11.5,-55,105,0.08,2000,800,2000,RNU0G102MCN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
4,1000,0.106,7,8,11.5,-55,105,0.08,2000,800,2000,RNU0G102MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
4,1200,0.088,7,8,11.5,-55,105,0.08,2000,960,2000,RNU0G122MCN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
4,1200,0.088,7,8,11.5,-55,105,0.08,2000,960,2000,RNU0G122MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
4,1800,0.059,7,10,12.5,-55,105,0.08,2000,1440,1600,RNU0G182MDN1,Uni-Polar,Radial Lead,Hi-Cap.,6100,MP,Normal,1.35
4,2200,0.048,7,10,12.5,-55,105,0.08,2000,1760,1600,RNU0G222MDN1,Uni-Polar,Radial Lead,Hi-Cap.,6100,MP,Normal,1.35
6.3,220,0.482,20,6.3,10,-55,105,0.08,2000,277,3200,RNU0J221MCS1,Uni-Polar,Radial Lead,Hi-Cap.,3200,MP,Normal,0.54
6.3,220,0.482,20,6.3,10,-55,105,0.08,2000,277,3200,RNU0J221MDS1,Uni-Polar,Radial Lead,Hi-Cap.,3200,MP,Normal,0.54
6.3,470,0.226,7,8,11.5,-55,105,0.08,2000,592,2000,RNU0J471MCN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
6.3,470,0.226,7,8,11.5,-55,105,0.08,2000,592,2000,RNU0J471MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
6.3,680,0.156,7,8,11.5,-55,105,0.08,2000,856,2000,RNU0J681MCN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
6.3,680,0.156,7,8,11.5,-55,105,0.08,2000,856,2000,RNU0J681MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
6.3,820,0.129,7,8,11.5,-55,105,0.08,2000,1033,2000,RNU0J821MCN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
6.3,820,0.129,7,8,11.5,-55,105,0.08,2000,1033,2000,RNU0J821MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
6.3,1000,0.106,7,8,11.5,-55,105,0.08,2000,1260,2000,RNU0J102MCN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
6.3,1000,0.106,7,8,11.5,-55,105,0.08,2000,1260,2000,RNU0J102MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
6.3,1200,0.088,9,8,11.5,-55,105,0.08,2000,1512,2000,RNU0J122MCN1,Uni-Polar,Radial Lead,Hi-Cap.,6100,MP,Normal,0.93
6.3,1200,0.088,9,8,11.5,-55,105,0.08,2000,1512,2000,RNU0J122MDN1,Uni-Polar,Radial Lead,Hi-Cap.,6100,MP,Normal,0.93
6.3,1500,0.071,7,10,12.5,-55,105,0.08,2000,1890,1600,RNU0J152MDN1,Uni-Polar,Radial Lead,Hi-Cap.,6100,MP,Normal,1.35
10,10,15.916,220,4,5,-55,105,0.12,2000,300,8000,RNU1A100MCS1,Uni-Polar,Radial Lead,Hi-Cap.,700,MP,Normal,0.16
10,10,15.916,220,4,5,-55,105,0.12,5000,300,8000,RNU1A100MCSASQ,Uni-Polar,Radial Lead,Hi-Cap.,700,MP,Normal,0.16
10,10,15.916,220,4,5,-55,105,0.12,2000,300,8000,RNU1A100MDS1,Uni-Polar,Radial Lead,Hi-Cap.,700,MP,Normal,0.16
10,10,15.916,220,4,5,-55,105,0.12,5000,300,8000,RNU1A100MDSASQ,Uni-Polar,Radial Lead,Hi-Cap.,700,MP,Normal,0.16
10,820,0.129,10,8,11.5,-55,105,0.08,2000,1640,2000,RNU1A821MCN1,Uni-Polar,Radial Lead,Hi-Cap.,5800,MP,Normal,0.93
10,820,0.129,10,8,11.5,-55,105,0.08,5000,1640,2000,RNU1A821MCNASQ,Uni-Polar,Radial Lead,Hi-Cap.,5800,MP,Normal,0.93
10,820,0.129,10,8,11.5,-55,105,0.08,2000,1640,2000,RNU1A821MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5800,MP,Normal,0.93
10,820,0.129,10,8,11.5,-55,105,0.08,5000,1640,2000,RNU1A821MDNASQ,Uni-Polar,Radial Lead,Hi-Cap.,5800,MP,Normal,0.93
10,1200,0.088,9,10,12.5,-55,105,0.08,2000,2400,1600,RNU1A122MDN1,Uni-Polar,Radial Lead,Hi-Cap.,6200,MP,Normal,1.35
16,100,1.061,25,6.3,10,-55,105,0.08,2000,320,3200,RNU1C101MCS1,Uni-Polar,Radial Lead,Hi-Cap.,2820,MP,Normal,0.54
16,100,1.061,25,6.3,10,-55,105,0.08,5000,320,3200,RNU1C101MCSASQ,Uni-Polar,Radial Lead,Hi-Cap.,2820,MP,Normal,0.54
16,100,1.061,25,6.3,10,-55,105,0.08,2000,320,3200,RNU1C101MDS1,Uni-Polar,Radial Lead,Hi-Cap.,2820,MP,Normal,0.54
16,100,1.061,25,6.3,10,-55,105,0.08,5000,320,3200,RNU1C101MDSASQ,Uni-Polar,Radial Lead,Hi-Cap.,2820,MP,Normal,0.54
16,180,0.589,8,8,11.5,-55,105,0.08,2000,576,2000,RNU1C181MCN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
16,180,0.589,8,8,11.5,-55,105,0.08,2000,576,2000,RNU1C181MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
16,270,0.393,8,8,11.5,-55,105,0.08,2000,864,2000,RNU1C271MCN1,Uni-Polar,Radial Lead,Hi-Cap.,5000,MP,Normal,0.93
16,270,0.393,8,8,11.5,-55,105,0.08,5000,864,2000,RNU1C271MCNASQ,Uni-Polar,Radial Lead,Hi-Cap.,5000,MP,Normal,0.93
16,270,0.393,8,8,11.5,-55,105,0.08,2000,864,2000,RNU1C271MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5000,MP,Normal,0.93
16,270,0.393,8,8,11.5,-55,105,0.08,5000,864,2000,RNU1C271MDNASQ,Uni-Polar,Radial Lead,Hi-Cap.,5000,MP,Normal,0.93
16,330,0.322,8,8,11.5,-55,105,0.08,2000,1056,2000,RNU1C331MCN1,Uni-Polar,Radial Lead,Hi-Cap.,6100,MP,Normal,0.93
16,330,0.322,8,8,11.5,-55,105,0.08,2000,1056,2000,RNU1C331MDN1,Uni-Polar,Radial Lead,Hi-Cap.,6100,MP,Normal,0.93
16,470,0.226,10,10,12.5,-55,105,0.08,2000,1504,1600,RNU1C471MDN1,Uni-Polar,Radial Lead,Hi-Cap.,6100,MP,Normal,1.35
16,470,0.226,10,10,12.5,-55,105,0.08,5000,1504,1600,RNU1C471MDNASQ,Uni-Polar,Radial Lead,Hi-Cap.,6100,MP,Normal,1.35
16,680,0.156,10,10,12.5,-55,105,0.08,2000,2176,1600,RNU1C681MDN1,Uni-Polar,Radial Lead,Hi-Cap.,6100,MP,Normal,1.35
20,390,0.408,14,8,11.5,-55,105,0.12,2000,1560,2000,RNU1D391MCN1,Uni-Polar,Radial Lead,Hi-Cap.,4970,MP,Normal,0.93
20,390,0.408,14,8,11.5,-55,105,0.12,5000,1560,2000,RNU1D391MCNASQ,Uni-Polar,Radial Lead,Hi-Cap.,4970,MP,Normal,0.93
20,390,0.408,14,8,11.5,-55,105,0.12,2000,1560,2000,RNU1D391MDN1,Uni-Polar,Radial Lead,Hi-Cap.,4970,MP,Normal,0.93
20,390,0.408,14,8,11.5,-55,105,0.12,5000,1560,2000,RNU1D391MDNASQ,Uni-Polar,Radial Lead,Hi-Cap.,4970,MP,Normal,0.93
20,470,0.339,12,10,12.5,-55,105,0.12,2000,1880,1600,RNU1D471MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5400,MP,Normal,1.35
20,560,0.284,12,10,12.5,-55,105,0.12,2000,2240,1600,RNU1D561MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5400,MP,Normal,1.35
20,680,0.234,12,10,12.5,-55,105,0.12,2000,2720,1600,RNU1D681MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5400,MP,Normal,1.35
20,820,0.194,12,10,12.5,-55,105,0.12,2000,3280,1600,RNU1D821MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5400,MP,Normal,1.35
25,33,4.823,24,8,11.5,-55,105,0.12,2000,412,2000,RNU1E330MCN1,Uni-Polar,Radial Lead,Hi-Cap.,3600,MP,Normal,0.93
25,33,4.823,24,8,11.5,-55,105,0.12,2000,412,2000,RNU1E330MDN1,Uni-Polar,Radial Lead,Hi-Cap.,3600,MP,Normal,0.93
25,47,3.386,24,8,11.5,-55,105,0.12,2000,587,2000,RNU1E470MCN1,Uni-Polar,Radial Lead,Hi-Cap.,3600,MP,Normal,0.93
25,47,3.386,24,8,11.5,-55,105,0.12,2000,587,2000,RNU1E470MDN1,Uni-Polar,Radial Lead,Hi-Cap.,3600,MP,Normal,0.93
25,68,2.341,24,8,11.5,-55,105,0.12,2000,850,2000,RNU1E680MCN1,Uni-Polar,Radial Lead,Hi-Cap.,3600,MP,Normal,0.93
25,68,2.341,24,8,11.5,-55,105,0.12,2000,850,2000,RNU1E680MDN1,Uni-Polar,Radial Lead,Hi-Cap.,3600,MP,Normal,0.93
25,180,0.884,16,8,11.5,-55,105,0.12,2000,900,2000,RNU1E181MCN1,Uni-Polar,Radial Lead,Hi-Cap.,4650,MP,Normal,0.93
25,180,0.884,16,8,11.5,-55,105,0.12,2000,900,2000,RNU1E181MDN1,Uni-Polar,Radial Lead,Hi-Cap.,4650,MP,Normal,0.93
25,220,0.723,16,8,11.5,-55,105,0.12,2000,1100,2000,RNU1E221MCN1,Uni-Polar,Radial Lead,Hi-Cap.,4650,MP,Normal,0.93
25,220,0.723,16,8,11.5,-55,105,0.12,5000,1100,2000,RNU1E221MCNASQ,Uni-Polar,Radial Lead,Hi-Cap.,4650,MP,Normal,0.93
25,220,0.723,16,8,11.5,-55,105,0.12,2000,1100,2000,RNU1E221MDN1,Uni-Polar,Radial Lead,Hi-Cap.,4650,MP,Normal,0.93
25,220,0.723,16,8,11.5,-55,105,0.12,5000,1100,2000,RNU1E221MDNASQ,Uni-Polar,Radial Lead,Hi-Cap.,4650,MP,Normal,0.93
25,330,0.482,14,10,12.5,-55,105,0.12,2000,1650,1600,RNU1E331MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5000,MP,Normal,1.35
