Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Status,Vibration resistant,Weight (g)
2.5,680,0.156,7,8,11.5,-55,105,0.08,2000,425,2000,RR70E681MDN1,Uni-Polar,Radial Lead,Lo-ESR,5600,MP,Normal,0.93
2.5,820,0.129,7,8,11.5,-55,105,0.08,2000,512,2000,RR70E821MDN1,Uni-Polar,Radial Lead,Lo-ESR,5600,MP,Normal,0.93
2.5,1500,0.071,7,10,12.5,-55,105,0.08,2000,937,1600,RR70E152MDN1,Uni-Polar,Radial Lead,Lo-ESR,6100,MP,Normal,1.35
4,560,0.189,7,8,11.5,-55,105,0.08,2000,224,2000,RR70G561MDN1,Uni-Polar,Radial Lead,Lo-ESR,5600,MP,Normal,0.93
4,820,0.129,7,10,12.5,-55,105,0.08,2000,328,1600,RR70G821MDN1,Uni-Polar,Radial Lead,Lo-ESR,6100,MP,Normal,1.35
4,1200,0.166,7,10,12.5,-55,105,0.15,2000,960,1600,RR70G122MDN1,Uni-Polar,Radial Lead,Lo-ESR,6100,MP,Normal,1.35
6.3,150,0.619,7,8,11.5,-55,105,0.07,2000,47,2000,RR70J151MDN1,Uni-Polar,Radial Lead,Lo-ESR,5600,MP,Normal,0.93
6.3,220,0.422,7,8,11.5,-55,105,0.07,2000,69,2000,RR70J221MDN1,Uni-Polar,Radial Lead,Lo-ESR,5600,MP,Normal,0.93
6.3,330,0.281,7,10,12.5,-55,105,0.07,2000,103,1600,RR70J331MDN1,Uni-Polar,Radial Lead,Lo-ESR,6100,MP,Normal,1.35
6.3,390,0.272,7,8,11.5,-55,105,0.08,2000,245,2000,RR70J391MDN1,Uni-Polar,Radial Lead,Lo-ESR,5600,MP,Normal,0.93
6.3,680,0.156,7,10,12.5,-55,105,0.08,2000,428,1600,RR70J681MDN1,Uni-Polar,Radial Lead,Lo-ESR,6100,MP,Normal,1.35
6.3,820,0.194,7,10,12.5,-55,105,0.12,2000,516,1600,RR70J821MDN1,Uni-Polar,Radial Lead,Lo-ESR,6100,MP,Normal,1.35
6.3,1000,0.159,7,10,12.5,-55,105,0.12,2000,630,1600,RR70J102MDN1,Uni-Polar,Radial Lead,Lo-ESR,6100,MP,Normal,1.35
10,100,0.928,7,8,11.5,-55,105,0.07,2000,50,2000,RR71A101MDN1,Uni-Polar,Radial Lead,Lo-ESR,5600,MP,Normal,0.93
10,220,0.422,7,10,12.5,-55,105,0.07,2000,110,1600,RR71A221MDN1,Uni-Polar,Radial Lead,Lo-ESR,6100,MP,Normal,1.35
10,470,0.226,7,10,12.5,-55,105,0.08,2000,470,1600,RR71A471MDN1,Uni-Polar,Radial Lead,Lo-ESR,6100,MP,Normal,1.35
10,680,0.195,7,10,12.5,-55,105,0.1,2000,1360,1600,RR71A681MDN1,Uni-Polar,Radial Lead,Lo-ESR,6100,MP,Normal,1.35
16,68,1.17,7,8,11.5,-55,105,0.06,2000,54,2000,RR71C680MDN1,Uni-Polar,Radial Lead,Lo-ESR,5600,MP,Normal,0.93
16,100,0.796,7,8,11.5,-55,105,0.06,2000,80,2000,RR71C101MDN1,Uni-Polar,Radial Lead,Lo-ESR,5600,MP,Normal,0.93
16,150,0.531,7,10,12.5,-55,105,0.06,2000,120,1600,RR71C151MDN1,Uni-Polar,Radial Lead,Lo-ESR,6100,MP,Normal,1.35
16,270,0.393,7,10,12.5,-55,105,0.08,2000,648,1600,RR71C271MDN1,Uni-Polar,Radial Lead,Lo-ESR,6100,MP,Normal,1.35
16,330,0.322,7,10,12.5,-55,105,0.08,2000,792,1600,RR71C331MDN1,Uni-Polar,Radial Lead,Lo-ESR,6100,MP,Normal,1.35
16,330,0.322,7,10,12.5,-55,105,0.08,5000,792,1600,RR71C331MDNASQ,Uni-Polar,Radial Lead,Lo-ESR,6100,MP,Normal,1.35
