Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Ripple Current,Size Code
16,100,3.183,,,0.24,,
16,220,1.447,6.3,11.5,0.24,190.0,D11
16,330,0.965,6.3,11.5,0.24,225.0,D11
16,470,0.677,8,12,0.24,323.0,E12
16,1000,0.318,10,12.5,0.24,500.0,F12
16,2200,0.145,10,20,0.24,710.0,F20
16,3300,0.096,12.5,25,0.24,1200.0,G25
16,3300,0.096,16,20,0.24,1250.0,J20
16,4700,0.068,16,25,0.24,1500.0,J25
16,4700,0.068,18,20,0.24,1460.0,K20
16,6800,0.047,16,25,0.24,1600.0,J25
16,6800,0.047,18,20,0.24,1560.0,K20
16,10000,0.032,16,35.5,0.24,1930.0,J35
16,15000,0.021,18,40,0.24,2210.0,K40
25,100,2.653,5,11.5,0.2,125.0,C11
25,220,1.206,6.3,11.5,0.2,200.0,D11
25,330,0.804,8,12,0.2,310.0,E12
25,470,0.564,10,12.5,0.2,429.0,F12
25,1000,0.265,10,16,0.2,610.0,F16
25,2200,0.121,12.5,25,0.2,1180.0,G25
25,2200,0.121,16,20,0.2,1230.0,J20
25,3300,0.08,16,16,0.2,1200.0,J16
25,3300,0.08,16,25,0.2,1440.0,J25
25,4700,0.056,18,20,0.2,1400.0,K20
25,4700,0.056,16,25,0.2,1570.0,J25
25,6800,0.039,18,20,0.2,1530.0,K20
25,6800,0.039,16,35.5,0.2,1850.0,J35
25,10000,0.027,18,31.5,0.2,1870.0,K31
25,15000,0.018,18,40,0.2,2000.0,K40
