Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,Ripple Current 125°C@100kHz
25,1300,0.143,0.068,12.5,20,0.14,0.71,1510
25,1600,0.116,0.072,12.5,20,0.14,0.77,1470
25,1800,0.103,0.05,12.5,25,0.14,0.52,1900
25,2000,0.093,0.049,16,20,0.14,0.43,1820
25,2200,0.084,0.053,12.5,25,0.14,0.57,1850
25,2200,0.084,0.043,12.5,30,0.14,0.45,2190
25,2700,0.069,0.046,12.5,30,0.14,0.49,2130
25,2700,0.069,0.051,16,20,0.14,0.46,1800
25,2700,0.069,0.038,16,25,0.14,0.33,2250
25,2700,0.069,0.046,18,20,0.14,0.34,1990
25,3300,0.056,0.047,18,20,0.14,0.37,1970
25,3600,0.052,0.039,16,25,0.14,0.35,2220
25,3600,0.052,0.029,16,31.5,0.14,0.25,2720
25,3900,0.048,0.033,18,25,0.14,0.25,2510
25,4700,0.04,0.03,16,31.5,0.14,0.27,2670
25,4700,0.04,0.034,18,25,0.14,0.26,2490
25,4700,0.04,0.028,18,31.5,0.14,0.2,2940
25,5600,0.033,0.028,18,31.5,0.14,0.22,2910
35,910,0.175,0.068,12.5,20,0.12,0.71,1510
35,1100,0.145,0.072,12.5,20,0.12,0.77,1470
35,1200,0.133,0.05,12.5,25,0.12,0.52,1900
35,1500,0.106,0.053,12.5,25,0.12,0.57,1850
35,1500,0.106,0.043,12.5,30,0.12,0.45,2190
35,1500,0.106,0.049,16,20,0.12,0.43,1820
35,1800,0.088,0.046,12.5,30,0.12,0.49,2130
35,1800,0.088,0.051,16,20,0.12,0.46,1800
35,1800,0.088,0.046,18,20,0.12,0.34,1990
35,2000,0.08,0.038,16,25,0.12,0.33,2250
35,2200,0.072,0.047,18,20,0.12,0.37,1970
35,2400,0.066,0.039,16,25,0.12,0.35,2220
35,2400,0.066,0.029,16,31.5,0.12,0.25,2720
35,2700,0.059,0.033,18,25,0.12,0.25,2510
35,3000,0.053,0.03,16,31.5,0.12,0.27,2670
35,3300,0.048,0.034,18,25,0.12,0.26,2490
35,3300,0.048,0.028,18,31.5,0.12,0.2,2940
35,3900,0.041,0.028,18,31.5,0.12,0.22,2910
50,510,0.26,0.068,12.5,20,0.1,0.72,1510
50,620,0.214,0.072,12.5,20,0.1,0.78,1470
50,680,0.195,0.05,12.5,25,0.1,0.53,1900
50,820,0.162,0.053,12.5,25,0.1,0.57,1850
50,820,0.162,0.043,12.5,30,0.1,0.45,2190
50,820,0.162,0.049,16,20,0.1,0.43,1820
50,1000,0.133,0.046,12.5,30,0.1,0.49,2130
50,1000,0.133,0.051,16,20,0.1,0.46,1800
50,1000,0.133,0.046,18,20,0.1,0.35,1990
50,1100,0.121,0.038,16,25,0.1,0.33,2250
50,1300,0.102,0.039,16,25,0.1,0.35,2220
50,1300,0.102,0.047,18,20,0.1,0.37,1970
50,1500,0.088,0.029,16,31.5,0.1,0.25,2720
50,1500,0.088,0.033,18,25,0.1,0.25,2510
50,1800,0.074,0.03,16,31.5,0.1,0.27,2670
50,1800,0.074,0.034,18,25,0.1,0.27,2490
50,1800,0.074,0.028,18,31.5,0.1,0.2,2940
50,2200,0.06,0.028,18,31.5,0.1,0.22,2910
70,240,0.553,0.096,12.5,20,0.1,0.72,1270
70,360,0.368,0.1,12.5,20,0.1,0.78,1230
70,360,0.368,0.07,12.5,25,0.1,0.53,1600
70,430,0.308,0.061,12.5,30,0.1,0.46,1850
70,430,0.308,0.067,16,20,0.1,0.44,1560
70,510,0.26,0.075,12.5,25,0.1,0.57,1550
70,510,0.26,0.061,18,20,0.1,0.36,1730
70,560,0.237,0.065,12.5,30,0.1,0.49,1790
70,560,0.237,0.07,16,20,0.1,0.47,1530
70,560,0.237,0.051,16,25,0.1,0.33,1930
70,750,0.177,0.053,16,25,0.1,0.36,1890
70,750,0.177,0.04,16,31.5,0.1,0.26,2330
70,750,0.177,0.063,18,20,0.1,0.38,1710
70,750,0.177,0.044,18,25,0.1,0.25,2190
70,1000,0.133,0.042,16,31.5,0.1,0.27,2280
70,1000,0.133,0.045,18,25,0.1,0.27,2160
70,1000,0.133,0.036,18,31.5,0.1,0.21,2560
70,1300,0.102,0.037,18,31.5,0.1,0.22,2530
