Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,Ripple Current
25,1100,0.169,0.07,12.5,20,0.14,1.0,1150
25,1600,0.116,0.05,12.5,25,0.14,0.75,1400
25,1800,0.103,0.045,16,20,0.14,0.6,1520
25,2400,0.077,0.04,18,20,0.14,0.5,1610
25,2700,0.069,0.035,16,25,0.14,0.43,1750
25,3600,0.052,0.03,18,25,0.14,0.35,1850
35,560,0.284,0.07,12.5,20,0.12,1.0,1150
35,820,0.194,0.05,12.5,25,0.12,0.75,1400
35,1000,0.159,0.045,16,20,0.12,0.6,1520
35,1300,0.122,0.04,18,20,0.12,0.5,1610
35,1400,0.114,0.035,16,25,0.12,0.43,1750
35,2000,0.08,0.03,18,25,0.12,0.35,1850
50,390,0.34,0.12,12.5,20,0.1,2.5,860
50,560,0.237,0.085,12.5,25,0.1,2.0,1100
50,680,0.195,0.075,16,20,0.1,1.5,1100
50,910,0.146,0.065,18,20,0.1,1.2,1170
50,1000,0.133,0.055,16,25,0.1,1.1,1400
50,1300,0.102,0.045,18,25,0.1,1.0,1500
