Voltage,Capacitance,Case Size Diameter,Case Size Length,Impedance,Lead Diameter,Part Number,Ripple Current,Straight,Straight leads,Taping,Taping ✽B
10,330,8,11.5,0.13,0.6,EEUTA1A331( ),500,3.5,200,1000,5.0
10,470,10,12.5,0.1,0.6,EEUTA1A471( ),680,5.0,200,500,5.0
10,1000,10,20,0.057,0.6,EEUTA1A102( ),1100,5.0,200,500,5.0
10,1000,12.5,15,0.07,0.6,EEUTA1A102S( ),1085,5.0,200,500,5.0
10,1000,12.5,25,0.033,0.6,EEUTA1A222L( ),1750,5.0,200,500,5.0
10,2200,16,20,0.032,0.8,EEUTA1A222( ),1985,7.5,100,250,7.5
10,2200,18,15,0.042,0.8,EEUTA1A222S( ),1800,7.5,100,250,7.5
10,3300,16,25,0.024,0.8,EEUTA1A332( ),2300,7.5,100,250,7.5
10,3300,18,20,0.031,0.8,EEUTA1A332S( ),2250,7.5,100,250,7.5
10,4700,16,31.5,0.02,0.8,EEUTA1A472,2710,7.5,100,,
10,4700,18,25,0.022,0.8,EEUTA1A472S( ),2470,7.5,100,250,7.5
16,220,8,11.5,0.13,0.6,EEUTA1C221( ),500,3.5,200,1000,5.0
16,330,10,12.5,0.1,0.6,EEUTA1C331( ),680,5.0,200,500,5.0
16,470,10,16,0.075,0.6,EEUTA1C471( ),945,5.0,200,500,5.0
16,1000,12.5,20,0.042,0.6,EEUTA1C102( ),1490,5.0,200,500,5.0
16,1000,16,15,0.047,0.8,EEUTA1C102S( ),1520,7.5,100,250,7.5
16,2200,16,25,0.024,0.8,EEUTA1C222( ),2300,7.5,100,250,7.5
16,2200,18,20,0.031,0.8,EEUTA1C222S( ),2250,7.5,100,250,7.5
16,3300,16,31.5,0.02,0.8,EEUTA1C332,2710,7.5,100,,
16,3300,18,25,0.022,0.8,EEUTA1C332S( ),2470,7.5,100,250,7.5
16,4700,18,31.5,0.018,0.8,EEUTA1C472,3270,7.5,50,,
25,100,8,11.5,0.13,0.6,EEUTA1E101( ),500,3.5,200,1000,5.0
25,220,10,12.5,0.1,0.6,EEUTA1E221( ),680,5.0,200,500,5.0
25,330,10,16,0.075,0.6,EEUTA1E331( ),945,5.0,200,500,5.0
25,470,10,20,0.057,0.6,EEUTA1E471( ),1100,5.0,200,500,5.0
25,470,12.5,15,0.07,0.6,EEUTA1E471S( ),1085,5.0,200,500,5.0
25,1000,12.5,25,0.033,0.6,EEUTA1E102L( ),1750,5.0,200,500,5.0
25,1000,16,20,0.032,0.8,EEUTA1E102( ),1985,7.5,100,250,7.5
25,1000,18,15,0.042,0.8,EEUTA1E102S( ),1800,7.5,100,250,7.5
