Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Endurance 125°C,Endurance 135°C,Lead Diameter,Lead Space,Lead Space Taping,Min Packaging Qty Straight,Min Packaging Qty Taping,Part Number,Ripple Current 125°C,Ripple Current 135°C
25,220,0.844,0.19,10,12.5,0.14,3000,2000,0.6,5.0,5.0,200,500,EEUTP1E221( ),580,500
25,330,0.563,0.13,10,16,0.14,3000,2000,0.6,5.0,5.0,200,500,EEUTP1E331( ),1100,945
25,470,0.395,0.067,8,20,0.14,2000,1000,0.6,3.5,5.0,200,1000,EEUTP1E471L( ),1060,760
25,470,0.395,0.13,10,16,0.14,3000,2000,0.6,5.0,5.0,200,500,EEUTP1E471( ),1100,945
25,510,0.364,0.13,10,16,0.14,3000,2000,0.6,5.0,5.0,200,500,EEUTP1E511( ),1100,945
25,820,0.226,0.052,10,20,0.14,3000,2000,0.6,5.0,5.0,200,500,EEUTP1E821( ),1540,1100
25,1000,0.186,0.038,12.5,20,0.14,4000,2000,0.6,5.0,5.0,200,500,EEUTP1E102( ),1860,1490
25,1200,0.155,0.038,12.5,20,0.14,4000,2000,0.6,5.0,5.0,200,500,EEUTP1E122( ),1860,1490
25,1800,0.103,0.03,12.5,25,0.14,4000,2000,0.6,5.0,5.0,200,500,EEUTP1E182( ),2180,1750
25,1800,0.103,0.029,16,20,0.14,5000,2000,0.8,7.5,7.5,100,250,EEUTP1E182S( ),2380,1985
25,2000,0.106,0.029,16,20,0.16,5000,2000,0.8,7.5,7.5,100,250,EEUTP1E202S( ),2380,1985
25,2200,0.096,0.022,16,25,0.16,5000,2000,0.8,7.5,7.5,100,250,EEUTP1E222( ),2760,2300
25,2200,0.096,0.028,18,20,0.16,5000,2000,0.8,7.5,7.5,100,250,EEUTP1E222S( ),2700,2250
25,2700,0.079,0.022,16,25,0.16,5000,2000,0.8,7.5,7.5,100,250,EEUTP1E272( ),2760,2300
25,2700,0.079,0.028,18,20,0.16,5000,2000,0.8,7.5,7.5,100,250,EEUTP1E272S( ),2700,2250
25,3300,0.072,0.018,16,31.5,0.18,5000,2000,0.8,7.5,,100,,EEUTP1E332,3250,2710
25,3300,0.072,0.02,18,25,0.18,5000,2000,0.8,7.5,7.5,100,250,EEUTP1E332S( ),2960,2470
25,3900,0.061,0.018,16,31.5,0.18,5000,2000,0.8,7.5,,100,,EEUTP1E392,3250,2710
25,3900,0.061,0.02,18,25,0.18,5000,2000,0.8,7.5,7.5,100,250,EEUTP1E392S( ),2960,2470
25,4700,0.056,0.016,18,31.5,0.2,5000,2000,0.8,7.5,,50,,EEUTP1E472,3480,2900
25,5100,0.057,0.016,18,31.5,0.22,5000,2000,0.8,7.5,,50,,EEUTP1E512,3480,2900
35,100,1.592,0.19,10,12.5,0.12,3000,2000,0.6,5.0,5.0,200,500,EEUTP1V101( ),580,500
35,120,1.326,0.19,10,12.5,0.12,3000,2000,0.6,5.0,5.0,200,500,EEUTP1V121( ),580,500
35,220,0.723,0.067,8,20,0.12,2000,1000,0.6,3.5,5.0,200,1000,EEUTP1V221L( ),1060,760
35,220,0.723,0.13,10,16,0.12,3000,2000,0.6,5.0,5.0,200,500,EEUTP1V221( ),1100,945
35,270,0.589,0.067,8,16,0.12,2000,1000,0.6,3.5,5.0,200,1000,EEUTP1V271L( ),1060,760
35,270,0.589,0.13,10,16,0.12,3000,2000,0.6,5.0,5.0,200,500,EEUTP1V271( ),1100,945
