Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Ripple Current @100kHz,Ripple Current @120Hz
35,180,0.884,6.3,25,0.12,1.21,0.605
35,220,0.723,6.3,30,0.12,1.37,0.685
35,330,0.482,6.3,40,0.12,1.68,0.924
35,390,0.408,6.3,50,0.12,2.02,1.11
35,390,0.408,8,25,0.12,1.73,0.951
35,470,0.339,8,30,0.12,2.03,1.11
35,680,0.234,8,40,0.12,2.57,1.41
35,820,0.194,8,50,0.12,3.04,1.82
35,820,0.194,10,30,0.12,2.47,1.48
35,1000,0.159,8,60,0.12,3.48,2.08
35,1200,0.133,10,40,0.12,3.12,1.87
35,1500,0.106,10,50,0.12,3.69,2.21
35,1800,0.088,10,60,0.12,4.17,2.5
50,100,1.326,6.3,25,0.1,1.02,0.51
50,120,1.105,6.3,30,0.1,1.16,0.58
50,180,0.737,6.3,40,0.1,1.42,0.71
50,220,0.603,6.3,50,0.1,1.72,0.86
50,220,0.603,8,25,0.1,1.48,0.74
50,270,0.491,8,30,0.1,1.74,0.87
50,390,0.34,8,40,0.1,2.23,1.22
50,470,0.282,8,50,0.1,2.65,1.45
50,470,0.282,10,30,0.1,2.22,1.22
50,560,0.237,8,60,0.1,3.07,1.68
50,680,0.195,10,40,0.1,2.82,1.55
50,820,0.162,10,50,0.1,3.37,2.02
50,1000,0.133,10,60,0.1,3.86,2.31
63,82,1.456,6.3,25,0.09,0.91,0.455
63,100,1.194,6.3,30,0.09,1.03,0.515
63,150,0.796,6.3,40,0.09,1.27,0.635
63,180,0.663,6.3,50,0.09,1.55,0.775
63,180,0.663,8,25,0.09,1.33,0.665
63,220,0.543,8,30,0.09,1.57,0.785
63,330,0.362,8,40,0.09,2.02,1.11
63,390,0.306,8,50,0.09,2.41,1.32
63,390,0.306,10,30,0.09,2.1,1.16
63,470,0.254,8,60,0.09,2.8,1.54
63,560,0.213,10,40,0.09,2.6,1.43
63,680,0.176,10,50,0.09,3.12,1.71
63,820,0.146,10,60,0.09,3.59,2.15
80,47,2.258,6.3,25,0.08,0.91,0.455
80,56,1.895,6.3,30,0.08,1.03,0.515
80,82,1.294,6.3,40,0.08,1.27,0.635
80,100,1.061,6.3,50,0.08,1.55,0.775
80,100,1.061,8,25,0.08,1.33,0.665
80,120,0.884,8,30,0.08,1.57,0.785
80,180,0.589,8,40,0.08,2.02,1.01
80,220,0.482,8,50,0.08,2.41,1.2
80,220,0.482,10,30,0.08,2.1,1.05
80,270,0.393,8,60,0.08,2.8,1.4
80,270,0.393,10,40,0.08,2.6,1.3
80,390,0.272,10,50,0.08,3.12,1.71
80,470,0.226,10,60,0.08,3.59,1.97
100,33,3.215,6.3,25,0.08,0.91,0.382
100,39,2.721,6.3,30,0.08,1.03,0.515
100,56,1.895,6.3,40,0.08,1.27,0.635
100,68,1.56,6.3,50,0.08,1.55,0.775
100,82,1.294,8,25,0.08,1.33,0.665
100,100,1.061,8,30,0.08,1.57,0.785
100,120,0.884,8,40,0.08,2.02,1.01
100,150,0.707,8,50,0.08,2.41,1.2
100,150,0.707,10,30,0.08,2.1,1.05
100,220,0.482,8,60,0.08,2.8,1.4
100,220,0.482,10,40,0.08,2.6,1.3
100,270,0.393,10,50,0.08,3.12,1.56
100,330,0.322,10,60,0.08,3.59,1.97
160,56,4.737,8,25,0.2,0.448,0.32
160,68,3.901,8,30,0.2,0.518,0.37
160,82,3.235,8,35,0.2,0.602,0.43
160,82,3.235,10,25,0.2,0.602,0.43
160,100,2.653,8,40,0.2,0.686,0.49
160,120,2.21,8,55,0.2,0.798,0.57
160,120,2.21,10,30,0.2,0.756,0.54
160,150,1.768,10,40,0.2,0.938,0.67
160,150,1.768,12.5,25,0.2,0.924,0.66
160,180,1.474,10,50,0.2,1.12,0.8
160,180,1.474,12.5,30,0.2,1.07,0.77
160,220,1.206,10,60,0.2,1.31,0.94
160,220,1.206,12.5,35,0.2,1.24,0.89
160,220,1.206,16,25,0.2,1.3,0.93
160,270,0.982,12.5,40,0.2,1.41,1.01
160,330,0.804,12.5,50,0.2,1.68,1.2
160,330,0.804,16,30,0.2,1.68,1.2
160,330,0.804,18,25,0.2,1.65,1.18
160,390,0.68,12.5,55,0.2,1.89,1.35
160,390,0.68,16,35,0.2,1.87,1.34
160,390,0.68,18,30,0.2,1.96,1.4
160,470,0.564,16,40,0.2,2.12,1.52
160,470,0.564,18,35,0.2,2.21,1.58
160,560,0.474,16,50,0.2,2.5,1.79
160,560,0.474,18,40,0.2,2.49,1.78
160,680,0.39,18,45,0.2,2.8,2.0
160,820,0.323,18,50,0.2,3.12,2.23
200,39,6.801,8,25,0.2,0.42,0.3
200,56,4.737,8,30,0.2,0.518,0.37
200,68,3.901,8,40,0.2,0.63,0.45
200,68,3.901,10,25,0.2,0.602,0.43
200,82,3.235,8,45,0.2,0.714,0.51
200,82,3.235,10,30,0.2,0.7,0.5
200,100,2.653,8,55,0.2,0.84,0.6
200,100,2.653,10,40,0.2,0.882,0.63
200,120,2.21,10,45,0.2,1.05,0.75
200,120,2.21,12.5,25,0.2,0.91,0.65
200,150,1.768,10,50,0.2,1.16,0.83
200,150,1.768,12.5,30,0.2,1.12,0.8
200,180,1.474,10,60,0.2,1.27,0.91
200,180,1.474,12.5,35,0.2,1.28,0.92
200,180,1.474,16,25,0.2,1.19,0.85
200,220,1.206,12.5,45,0.2,1.52,1.09
200,220,1.206,16,30,0.2,1.41,1.01
200,220,1.206,18,25,0.2,1.4,1.0
200,270,0.982,12.5,50,0.2,1.76,1.26
200,270,0.982,16,30,0.2,1.65,1.18
200,270,0.982,18,30,0.2,1.62,1.16
200,330,0.804,12.5,60,0.2,1.9,1.36
200,330,0.804,16,40,0.2,1.83,1.31
200,330,0.804,18,30,0.2,1.82,1.3
200,390,0.68,16,45,0.2,2.0,1.43
200,390,0.68,18,35,0.2,2.0,1.43
200,470,0.564,16,50,0.2,2.21,1.58
200,470,0.564,18,40,0.2,2.21,1.58
200,560,0.474,18,45,0.2,2.47,1.77
220,100,2.653,10,40,0.2,0.924,0.66
220,120,2.21,10,45,0.2,1.05,0.75
220,120,2.21,12.5,30,0.2,1.03,0.74
220,150,1.768,12.5,35,0.2,1.2,0.86
220,150,1.768,16,25,0.2,1.12,0.8
220,180,1.474,12.5,40,0.2,1.38,0.99
220,180,1.474,16,30,0.2,1.31,0.94
220,220,1.206,12.5,50,0.2,1.51,1.08
220,220,1.206,16,30,0.2,1.41,1.01
220,220,1.206,18,25,0.2,1.31,0.94
220,270,0.982,16,35,0.2,1.66,1.19
220,270,0.982,18,30,0.2,1.58,1.13
220,330,0.804,18,35,0.2,1.82,1.3
220,390,0.68,18,40,0.2,2.08,1.49
220,470,0.564,18,45,0.2,2.36,1.69
250,27,9.824,8,25,0.2,0.42,0.3
250,39,6.801,8,30,0.2,0.518,0.37
250,47,5.644,8,35,0.2,0.63,0.45
250,47,5.644,10,25,0.2,0.518,0.37
250,56,4.737,8,40,0.2,0.714,0.51
250,56,4.737,10,30,0.2,0.588,0.42
250,68,3.901,8,50,0.2,0.826,0.59
250,68,3.901,10,35,0.2,0.686,0.49
250,82,3.235,10,40,0.2,0.854,0.61
250,82,3.235,12.5,25,0.2,0.756,0.54
250,100,2.653,10,45,0.2,0.952,0.68
250,100,2.653,12.5,30,0.2,0.966,0.69
250,120,2.21,10,55,0.2,1.02,0.73
250,120,2.21,12.5,35,0.2,1.1,0.79
250,120,2.21,16,25,0.2,1.03,0.74
250,150,1.768,12.5,40,0.2,1.28,0.92
250,150,1.768,16,30,0.2,1.24,0.89
250,180,1.474,12.5,50,0.2,1.35,0.97
250,180,1.474,16,30,0.2,1.33,0.95
250,180,1.474,18,25,0.2,1.23,0.88
