Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR -40°C@100kHz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 125°C@100kHz,Ripple Current 135°C@100kHz,Status,Vibration resistant,Weight (g)
25,2000,0.106,0.042,12.5,20,-40,135,0.16,0.48,3000,1500,1000,UBY1E202MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2760,1690,MP,Normal,3.43
25,3000,0.08,0.033,12.5,25,-40,135,0.18,0.3,3000,2250,800,UBY1E302MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3480,2010,MP,Normal,4.56
25,3300,0.072,0.031,16,20,-40,135,0.18,0.27,3000,2475,600,UBY1E332MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3040,1860,MP,Normal,6.6
25,3600,0.066,0.028,12.5,30.5,-40,135,0.18,0.24,3000,2700,600,UBY1E362MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4490,2900,MP,Normal,6.01
25,4300,0.062,0.03,18,20,-40,135,0.2,0.22,3000,3225,400,UBY1E432MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3250,1870,MP,Normal,9.0
25,4700,0.056,0.026,16,25,-40,135,0.2,0.22,3000,3525,400,UBY1E472MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4260,2870,MP,Normal,8.2
25,5100,0.057,0.024,12.5,40,-40,135,0.22,0.19,3000,3825,400,UBY1E512MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5810,3470,MP,Normal,7.57
25,6200,0.051,0.023,16,30.5,-40,135,0.24,0.18,3000,4650,300,UBY1E622MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5480,3400,MP,Normal,9.6
25,6200,0.051,0.025,18,25,-40,135,0.24,0.19,3000,4650,300,UBY1E622MHL6,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4500,2900,MP,Normal,10.6
25,7500,0.046,0.02,16,35.5,-40,135,0.26,0.14,3000,5625,300,UBY1E752MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,6070,3630,MP,Normal,11.8
