Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@120Hz,Status,Vibration resistant,Weight (g)
160,33,8.038,10,16,-40,105,0.2,10000,311,1800,UCY2C330MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,260,MP,Normal,1.77
160,39,6.801,10,16,-40,105,0.2,10000,350,1800,UCY2C390MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,295,MP,Normal,1.77
160,47,5.644,10,20,-40,105,0.2,10000,401,1400,UCY2C470MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,375,MP,Normal,2.34
160,56,4.737,10,20,-40,105,0.2,10000,458,1400,UCY2C560MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,380,MP,Normal,2.34
160,68,3.901,10,25,-40,105,0.2,12000,535,1200,UCY2C680MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,455,MP,Normal,3.07
160,68,3.901,12.5,20,-40,105,0.2,10000,535,1000,UCY2C680MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,590,MP,Normal,3.43
160,82,3.235,10,25,-40,105,0.2,12000,625,1200,UCY2C820MPD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,455,MP,Normal,3.07
160,82,3.235,10,30.5,-40,105,0.2,12000,625,1000,UCY2C820MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,534,MP,Normal,3.21
160,82,3.235,12.5,20,-40,105,0.2,10000,625,1000,UCY2C820MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,640,MP,Normal,3.43
160,100,2.653,12.5,20,-40,105,0.2,10000,740,1000,UCY2C101MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,645,MP,Normal,3.43
160,120,2.21,12.5,25,-40,105,0.2,12000,868,800,UCY2C121MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,760,MP,Normal,4.56
160,150,1.768,12.5,25,-40,105,0.2,12000,1060,800,UCY2C151MHD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,760,MP,Normal,4.56
160,150,1.768,12.5,30.5,-40,105,0.2,12000,1060,600,UCY2C151MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,905,MP,Normal,6.01
160,150,1.768,16,20,-40,105,0.2,10000,1060,600,UCY2C151MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,945,MP,Normal,6.6
