Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Status,Vibration resistant,Weight (g)
6.3,33,9.646,5,11,-55,105,0.24,1000,6,6000,UEP0J330MDD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,46,EOL,Normal,0.44
6.3,47,6.773,5,11,-55,105,0.24,1000,9,6000,UEP0J470MDD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,54,EOL,Normal,0.44
6.3,100,3.183,6.3,11,-55,105,0.24,1000,19,4000,UEP0J101MED,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,90,EOL,Normal,0.59
6.3,220,1.447,8,11.5,-55,105,0.24,1000,42,3000,UEP0J221MPD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,150,MP,Normal,1.19
6.3,330,0.965,8,11.5,-55,105,0.24,1000,62,3000,UEP0J331MPD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,185,MP,Normal,1.19
6.3,470,0.677,10,12.5,-55,105,0.24,1000,89,2000,UEP0J471MPD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,260,MP,Normal,1.49
6.3,1000,0.318,10,20,-55,105,0.24,1000,189,1400,UEP0J102MPD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,460,MP,Normal,2.34
6.3,2200,0.157,12.5,25,-55,105,0.26,1000,416,800,UEP0J222MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,820,MP,Normal,4.56
6.3,3300,0.113,16,25,-55,105,0.28,1000,624,400,UEP0J332MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,1110,MP,Normal,8.2
6.3,4700,0.085,16,30.5,-55,105,0.3,1000,888,300,UEP0J472MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,1430,MP,Normal,9.6
6.3,6800,0.066,18,35.5,-55,105,0.34,1000,1285,250,UEP0J682MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,1830,MP,Normal,14.2
10,22,14.469,5,11,-55,105,0.24,1000,7,6000,UEP1A220MDD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,42,EOL,Normal,0.44
10,33,9.646,5,11,-55,105,0.24,1000,10,6000,UEP1A330MDD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,45,EOL,Normal,0.44
10,47,6.773,5,11,-55,105,0.24,1000,14,6000,UEP1A470MDD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,54,EOL,Normal,0.44
10,100,3.183,6.3,11,-55,105,0.24,1000,30,4000,UEP1A101MED,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,90,EOL,Normal,0.59
10,220,1.447,8,11.5,-55,105,0.24,1000,66,3000,UEP1A221MPD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,150,MP,Normal,1.19
