Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Status,Vibration resistant,Weight (g)
6.3,22,18.086,5,11,-55,105,0.3,1000,4,6000,UKT0J220MDD,Uni-Polar,Radial Lead,105degC Standard,45,EOL,Normal,0.44
6.3,33,12.057,5,11,-55,105,0.3,1000,6,6000,UKT0J330MDD,Uni-Polar,Radial Lead,105degC Standard,55,EOL,Normal,0.44
6.3,47,8.466,5,11,-55,105,0.3,1000,9,6000,UKT0J470MDD,Uni-Polar,Radial Lead,105degC Standard,65,EOL,Normal,0.44
6.3,100,3.979,5,11,-55,105,0.3,1000,19,6000,UKT0J101MDD,Uni-Polar,Radial Lead,105degC Standard,95,EOL,Normal,0.44
6.3,220,1.809,6.3,11,-55,105,0.3,1000,42,4000,UKT0J221MED,Uni-Polar,Radial Lead,105degC Standard,160,EOL,Normal,0.59
6.3,330,1.206,6.3,11,-55,105,0.3,1000,62,4000,UKT0J331MED,Uni-Polar,Radial Lead,105degC Standard,195,EOL,Normal,0.59
6.3,470,0.847,8,11.5,-55,105,0.3,1000,89,3000,UKT0J471MPD,Uni-Polar,Radial Lead,105degC Standard,270,LTB,Normal,1.19
6.3,1000,0.398,10,12.5,-55,105,0.3,1000,189,2000,UKT0J102MPD,Uni-Polar,Radial Lead,105degC Standard,420,LTB,Normal,1.49
6.3,2200,0.193,10,20,-55,105,0.32,1000,416,1400,UKT0J222MPD,Uni-Polar,Radial Lead,105degC Standard,710,LTB,Normal,2.34
6.3,3300,0.137,12.5,20,-55,105,0.34,1000,624,1000,UKT0J332MHD,Uni-Polar,Radial Lead,105degC Standard,910,LTB,Normal,3.43
6.3,4700,0.102,12.5,25,-55,105,0.36,1000,888,800,UKT0J472MHD,Uni-Polar,Radial Lead,105degC Standard,1120,LTB,Normal,4.56
6.3,6800,0.078,12.5,35.5,-55,105,0.4,1000,1285,500,UKT0J682MHD,Uni-Polar,Radial Lead,105degC Standard,1360,LTB,Normal,7.06
6.3,10000,0.064,12.5,40,-55,105,0.48,1000,1890,400,UKT0J103MHD,Uni-Polar,Radial Lead,105degC Standard,1650,LTB,Normal,7.57
6.3,15000,0.051,16,35.5,-55,105,0.58,1000,2835,300,UKT0J153MHD,Uni-Polar,Radial Lead,105degC Standard,2010,LTB,Normal,11.8
6.3,22000,0.043,18,40,-55,105,0.72,1000,4158,200,UKT0J223MHD,Uni-Polar,Radial Lead,105degC Standard,2350,LTB,Normal,17.7
6.3,33000,0.038,22,50,-55,105,0.94,1000,6237,250,UKT0J333MRD,Uni-Polar,Radial Lead,105degC Standard,2800,EOL,Normal,27.4
10,22,15.674,5,11,-55,105,0.26,1000,7,6000,UKT1A220MDD,Uni-Polar,Radial Lead,105degC Standard,45,EOL,Normal,0.44
10,33,10.45,5,11,-55,105,0.26,1000,10,6000,UKT1A330MDD,Uni-Polar,Radial Lead,105degC Standard,58,EOL,Normal,0.44
10,47,7.337,5,11,-55,105,0.26,1000,14,6000,UKT1A470MDD,Uni-Polar,Radial Lead,105degC Standard,68,EOL,Normal,0.44
10,100,3.448,5,11,-55,105,0.26,1000,30,6000,UKT1A101MDD,Uni-Polar,Radial Lead,105degC Standard,105,EOL,Normal,0.44
10,220,1.567,6.3,11,-55,105,0.26,1000,66,4000,UKT1A221MED,Uni-Polar,Radial Lead,105degC Standard,175,EOL,Normal,0.59
10,330,1.045,8,11.5,-55,105,0.26,1000,99,3000,UKT1A331MPD,Uni-Polar,Radial Lead,105degC Standard,240,LTB,Normal,1.19
10,470,0.734,8,11.5,-55,105,0.26,1000,141,3000,UKT1A471MPD,Uni-Polar,Radial Lead,105degC Standard,280,LTB,Normal,1.19
10,1000,0.345,10,16,-55,105,0.26,1000,300,1800,UKT1A102MPD,Uni-Polar,Radial Lead,105degC Standard,500,LTB,Normal,1.77
10,2200,0.169,12.5,20,-55,105,0.28,1000,660,1000,UKT1A222MHD,Uni-Polar,Radial Lead,105degC Standard,810,LTB,Normal,3.43
10,3300,0.121,12.5,25,-55,105,0.3,1000,990,800,UKT1A332MHD,Uni-Polar,Radial Lead,105degC Standard,1050,LTB,Normal,4.56
10,4700,0.09,12.5,35.5,-55,105,0.32,1000,1410,500,UKT1A472MHD,Uni-Polar,Radial Lead,105degC Standard,1300,LTB,Normal,7.06
10,6800,0.07,12.5,40,-55,105,0.36,1000,2040,400,UKT1A682MHD,Uni-Polar,Radial Lead,105degC Standard,1570,LTB,Normal,7.57
10,10000,0.058,16,35.5,-55,105,0.44,1000,3000,300,UKT1A103MHD,Uni-Polar,Radial Lead,105degC Standard,1890,LTB,Normal,11.8
10,15000,0.048,18,40,-55,105,0.54,1000,4500,200,UKT1A153MHD,Uni-Polar,Radial Lead,105degC Standard,2400,LTB,Normal,17.7
10,22000,0.041,22,40,-55,105,0.68,1000,6600,250,UKT1A223MRD,Uni-Polar,Radial Lead,105degC Standard,2650,EOL,Normal,23.8
10,33000,0.036,25,50,-55,105,0.9,1000,9900,140,UKT1A333MRD,Uni-Polar,Radial Lead,105degC Standard,2880,EOL,Normal,38.8
16,10,29.178,5,11,-55,105,0.22,1000,5,6000,UKT1C100MDD,Uni-Polar,Radial Lead,105degC Standard,35,EOL,Normal,0.44
16,22,13.263,5,11,-55,105,0.22,1000,11,6000,UKT1C220MDD,Uni-Polar,Radial Lead,105degC Standard,54,EOL,Normal,0.44
16,33,8.842,5,11,-55,105,0.22,1000,16,6000,UKT1C330MDD,Uni-Polar,Radial Lead,105degC Standard,65,EOL,Normal,0.44
16,47,6.208,5,11,-55,105,0.22,1000,23,6000,UKT1C470MDD,Uni-Polar,Radial Lead,105degC Standard,79,EOL,Normal,0.44
16,100,2.918,5,11,-55,105,0.22,1000,48,6000,UKT1C101MDD,Uni-Polar,Radial Lead,105degC Standard,115,EOL,Normal,0.44
16,220,1.326,6.3,11,-55,105,0.22,1000,106,4000,UKT1C221MED,Uni-Polar,Radial Lead,105degC Standard,190,EOL,Normal,0.59
16,330,0.884,8,11.5,-55,105,0.22,1000,158,3000,UKT1C331MPD,Uni-Polar,Radial Lead,105degC Standard,265,MP,Normal,1.19
16,470,0.621,8,11.5,-55,105,0.22,1000,226,3000,UKT1C471MPD,Uni-Polar,Radial Lead,105degC Standard,315,MP,Normal,1.19
16,1000,0.292,10,16,-55,105,0.22,1000,480,1800,UKT1C102MPD,Uni-Polar,Radial Lead,105degC Standard,560,MP,Normal,1.77
16,2200,0.145,12.5,20,-55,105,0.24,1000,1056,1000,UKT1C222MHD,Uni-Polar,Radial Lead,105degC Standard,920,MP,Normal,3.43
16,3300,0.104,12.5,30.5,-55,105,0.26,1000,1584,600,UKT1C332MHD,Uni-Polar,Radial Lead,105degC Standard,1270,MP,Normal,6.01
