Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,Vibration resistant,Weight (g)
6.3,560,0.521,0.09,8,11.5,-55,105,0.22,3000,0.18,106,3000,UPA0J561MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,630,MP,Normal,1.19
6.3,680,0.429,0.09,8,11.5,-55,105,0.22,3000,0.18,129,3000,UPA0J681MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,630,MP,Normal,1.19
6.3,1000,0.292,0.062,8,15,-55,105,0.22,3000,0.124,189,2000,UPA0J102MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,860,MP,Normal,1.36
6.3,1000,0.292,0.063,10,12.5,-55,105,0.22,4000,0.126,189,2000,UPA0J102MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,900,MP,Normal,1.49
6.3,1200,0.243,0.063,10,12.5,-55,105,0.22,4000,0.126,227,2000,UPA0J122MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,900,MP,Normal,1.49
6.3,1200,0.243,0.049,10,16,-55,105,0.22,4000,0.098,227,1800,UPA0J122MPD3,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1240,MP,Normal,1.77
6.3,1500,0.195,0.044,8,20,-55,105,0.22,3000,0.088,284,2000,UPA0J152MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1220,MP,Normal,1.66
6.3,1500,0.195,0.049,10,16,-55,105,0.22,4000,0.098,284,1800,UPA0J152MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1240,MP,Normal,1.77
6.3,1500,0.195,0.035,10,20,-55,105,0.22,4000,0.07,284,1400,UPA0J152MPD3,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1490,MP,Normal,2.34
6.3,2200,0.145,0.035,10,20,-55,105,0.24,4000,0.07,416,1400,UPA0J222MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1490,MP,Normal,2.34
