Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Ripple Current_1,Status,Vibration resistant,Weight (g)
6.3,100,2.918,1400,5,11,-55,105,0.22,2000,3500.0,19,6000,UPJ0J101MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,150,99.0,EOL,Normal,0.44
6.3,120,2.432,1100,5,11,-55,105,0.22,2000,2800.0,23,6000,UPJ0J121MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,175,115.0,EOL,Normal,0.44
6.3,150,1.945,780,6.3,11,-55,105,0.22,2000,2100.0,28,4000,UPJ0J151MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,225,155.0,EOL,Normal,0.59
6.3,180,1.621,600,6.3,11,-55,105,0.22,2000,1500.0,34,4000,UPJ0J181MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,250,175.0,EOL,Normal,0.59
6.3,220,1.326,480,6.3,11,-55,105,0.22,2000,1200.0,42,4000,UPJ0J221MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,285,205.0,EOL,Normal,0.59
6.3,270,1.081,390,6.3,15,-55,105,0.22,2000,1000.0,51,4000,UPJ0J271MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,370,275.0,EOL,Normal,0.72
6.3,330,0.884,320,6.3,15,-55,105,0.22,2000,800.0,62,4000,UPJ0J331MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,405,310.0,EOL,Normal,0.72
6.3,390,0.748,270,8,11.5,-55,105,0.22,3000,680.0,74,3000,UPJ0J391MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,445,345.0,MP,Normal,1.19
6.3,470,0.621,220,8,15,-55,105,0.22,3000,550.0,89,2000,UPJ0J471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,550,435.0,MP,Normal,1.36
6.3,470,0.621,230,10,12.5,-55,105,0.22,5000,580.0,89,2000,UPJ0J471MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,575,455.0,MP,Normal,1.49
6.3,560,0.521,190,8,15,-55,105,0.22,3000,480.0,106,2000,UPJ0J561MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,595,480.0,MP,Normal,1.36
6.3,560,0.521,210,10,12.5,-55,105,0.22,5000,530.0,106,2000,UPJ0J561MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,600,485.0,MP,Normal,1.49
6.3,680,0.429,160,8,20,-55,105,0.22,3000,400.0,129,2000,UPJ0J681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,730,605.0,MP,Normal,1.66
6.3,680,0.429,180,10,16,-55,105,0.22,5000,450.0,129,1800,UPJ0J681MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,700,580.0,MP,Normal,1.77
6.3,820,0.356,130,8,20,-55,105,0.22,3000,330.0,155,2000,UPJ0J821MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,795,670.0,MP,Normal,1.66
6.3,820,0.356,150,10,16,-55,105,0.22,5000,380.0,155,1800,UPJ0J821MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,750,635.0,MP,Normal,1.77
6.3,1000,0.292,120,10,20,-55,105,0.22,5000,300.0,189,1400,UPJ0J102MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,950,820.0,MP,Normal,2.34
6.3,1000,0.292,130,12.5,15,-55,105,0.22,5000,330.0,189,1200,UPJ0J102MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,890,765.0,MP,Normal,2.96
6.3,1200,0.243,100,10,20,-55,105,0.22,5000,250.0,227,1400,UPJ0J122MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1020,895.0,MP,Normal,2.34
6.3,1200,0.243,120,12.5,15,-55,105,0.22,5000,300.0,227,1200,UPJ0J122MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,950,835.0,MP,Normal,2.96
6.3,1500,0.195,84,10,25,-55,105,0.22,5000,210.0,284,1200,UPJ0J152MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1220,1090.0,MP,Normal,3.07
6.3,1500,0.195,100,12.5,15,-55,105,0.22,5000,250.0,284,1200,UPJ0J152MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1020,915.0,MP,Normal,2.96
6.3,1800,0.162,78,10,30.5,-55,105,0.22,5000,200.0,340,1000,UPJ0J182MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1370,1230.0,MP,Normal,3.21
6.3,1800,0.162,84,16,15,-55,105,0.22,5000,210.0,340,700,UPJ0J182MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1270,1140.0,MP,Normal,4.74
6.3,2200,0.145,66,10,30.5,-55,105,0.24,5000,170.0,416,1000,UPJ0J222MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1470,1320.0,MP,Normal,3.21
6.3,2200,0.145,78,16,15,-55,105,0.24,5000,200.0,416,700,UPJ0J222MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1340,1200.0,MP,Normal,4.74
6.3,2700,0.118,51,12.5,25,-55,105,0.24,5000,140.0,510,800,UPJ0J272MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1590,1430.0,MP,Normal,4.56
6.3,2700,0.118,72,18,15,-55,105,0.24,5000,180.0,510,400,UPJ0J272MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1500,1350.0,MP,Normal,6.31
6.3,3300,0.104,45,12.5,25,-55,105,0.26,5000,110.0,624,800,UPJ0J332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1710,1530.0,MP,Normal,4.56
6.3,3300,0.104,65,18,15,-55,105,0.26,5000,160.0,624,400,UPJ0J332MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1600,1440.0,MP,Normal,6.31
6.3,3900,0.088,37,12.5,30.5,-55,105,0.26,5000,93.0,737,600,UPJ0J392MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1910,1710.0,MP,Normal,6.01
6.3,3900,0.088,56,16,20,-55,105,0.26,5000,140.0,737,600,UPJ0J392MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1720,1540.0,MP,Normal,6.6
6.3,4700,0.079,34,12.5,35.5,-55,105,0.28,5000,85.0,888,500,UPJ0J472MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2100,1890.0,MP,Normal,7.06
6.3,4700,0.079,50,18,20,-55,105,0.28,5000,130.0,888,400,UPJ0J472MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1920,1720.0,MP,Normal,9.0
6.3,5600,0.071,31,12.5,40,-55,105,0.3,5000,78.0,1058,400,UPJ0J562MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2270,2040.0,MP,Normal,7.57
6.3,5600,0.071,47,18,20,-55,105,0.3,5000,120.0,1058,400,UPJ0J562MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1980,1780.0,MP,Normal,9.0
6.3,6800,0.062,29,16,30.5,-55,105,0.32,5000,73.0,1285,300,UPJ0J682MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2370,2130.0,MP,Normal,9.6
6.3,6800,0.062,39,18,25,-55,105,0.32,5000,98.0,1285,300,UPJ0J682MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2210,1980.0,MP,Normal,10.6
6.3,8200,0.058,27,16,35.5,-55,105,0.36,5000,68.0,1550,300,UPJ0J822MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2550,2290.0,MP,Normal,11.8
6.3,8200,0.058,31,18,30.5,-55,105,0.36,5000,78.0,1550,300,UPJ0J822MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2390,2150.0,MP,Normal,13.1
6.3,10000,0.053,25,16,40,-55,105,0.4,5000,63.0,1890,300,UPJ0J103MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2750,2470.0,MP,Normal,14.1
6.3,10000,0.053,28,18,30.5,-55,105,0.4,5000,70.0,1890,300,UPJ0J103MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2490,2240.0,MP,Normal,13.1
6.3,12000,0.049,23,18,35.5,-55,105,0.44,5000,58.0,2268,250,UPJ0J123MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2820,2530.0,MP,Normal,14.2
6.3,15000,0.044,22,18,40,-55,105,0.5,5000,55.0,2835,200,UPJ0J153MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2960,2660.0,MP,Normal,17.7
10,68,3.706,1300,5,11,-55,105,0.19,2000,3300.0,20,6000,UPJ1A680MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,155,97.0,EOL,Normal,0.44
10,82,3.073,1100,5,11,-55,105,0.19,2000,2800.0,25,6000,UPJ1A820MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,175,110.0,EOL,Normal,0.44
10,100,2.52,840,6.3,11,-55,105,0.19,2000,2100.0,30,4000,UPJ1A101MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,210,135.0,EOL,Normal,0.59
10,120,2.1,720,6.3,11,-55,105,0.19,2000,1800.0,36,4000,UPJ1A121MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,235,160.0,EOL,Normal,0.59
10,150,1.68,550,6.3,11,-55,105,0.19,2000,1400.0,45,4000,UPJ1A151MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,265,185.0,EOL,Normal,0.59
10,180,1.4,460,6.3,11,-55,105,0.19,2000,1200.0,54,4000,UPJ1A181MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,290,205.0,EOL,Normal,0.59
10,220,1.145,380,6.3,15,-55,105,0.19,2000,950.0,66,4000,UPJ1A221MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,370,270.0,EOL,Normal,0.72
10,270,0.933,310,6.3,15,-55,105,0.19,2000,780.0,81,4000,UPJ1A271MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,405,300.0,EOL,Normal,0.72
10,330,0.764,260,8,11.5,-55,105,0.19,3000,650.0,99,3000,UPJ1A331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,460,350.0,MP,Normal,1.19
10,390,0.646,220,8,15,-55,105,0.19,3000,550.0,117,2000,UPJ1A391MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,550,430.0,MP,Normal,1.36
10,390,0.646,240,10,12.5,-55,105,0.19,5000,600.0,117,2000,UPJ1A391MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,555,430.0,MP,Normal,1.49
10,470,0.536,190,8,15,-55,105,0.19,3000,480.0,141,2000,UPJ1A471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,595,475.0,MP,Normal,1.36
10,470,0.536,210,10,12.5,-55,105,0.19,5000,530.0,141,2000,UPJ1A471MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,600,475.0,MP,Normal,1.49
10,560,0.45,160,8,20,-55,105,0.19,3000,400.0,168,2000,UPJ1A561MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,730,590.0,MP,Normal,1.66
10,560,0.45,180,10,16,-55,105,0.19,5000,450.0,168,1800,UPJ1A561MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,700,565.0,MP,Normal,1.77
10,680,0.371,130,8,20,-55,105,0.19,3000,330.0,204,2000,UPJ1A681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,795,660.0,MP,Normal,1.66
10,680,0.371,140,10,16,-55,105,0.19,5000,350.0,204,1800,UPJ1A681MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,770,635.0,MP,Normal,1.77
10,820,0.307,110,10,20,-55,105,0.19,5000,280.0,246,1400,UPJ1A821MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,985,835.0,MP,Normal,2.34
10,820,0.307,130,12.5,15,-55,105,0.19,5000,330.0,246,1200,UPJ1A821MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,920,780.0,MP,Normal,2.96
10,1000,0.252,96,10,20,-55,105,0.19,5000,240.0,300,1400,UPJ1A102MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1060,915.0,MP,Normal,2.34
10,1000,0.252,100,12.5,15,-55,105,0.19,5000,250.0,300,1200,UPJ1A102MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1040,895.0,MP,Normal,2.96
10,1200,0.21,78,10,25,-55,105,0.19,5000,200.0,360,1200,UPJ1A122MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1280,1120.0,MP,Normal,3.07
10,1200,0.21,96,12.5,15,-55,105,0.19,5000,240.0,360,1200,UPJ1A122MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1060,930.0,MP,Normal,2.96
10,1500,0.168,72,10,30.5,-55,105,0.19,5000,180.0,450,1000,UPJ1A152MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1440,1290.0,MP,Normal,3.21
10,1500,0.168,78,16,15,-55,105,0.19,5000,200.0,450,700,UPJ1A152MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1330,1190.0,MP,Normal,4.74
10,1800,0.14,57,12.5,20,-55,105,0.19,5000,140.0,540,1000,UPJ1A182MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1470,1320.0,MP,Normal,3.43
10,1800,0.14,72,16,15,-55,105,0.19,5000,180.0,540,700,UPJ1A182MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1420,1270.0,MP,Normal,4.74
10,2200,0.127,45,12.5,25,-55,105,0.21,5000,110.0,660,800,UPJ1A222MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1710,1530.0,MP,Normal,4.56
10,2200,0.127,60,18,15,-55,105,0.21,5000,150.0,660,400,UPJ1A222MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1600,1440.0,MP,Normal,6.31
10,2700,0.103,36,12.5,30.5,-55,105,0.21,5000,90.0,810,600,UPJ1A272MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1940,1740.0,MP,Normal,6.01
10,2700,0.103,51,16,20,-55,105,0.21,5000,130.0,810,600,UPJ1A272MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1740,1560.0,MP,Normal,6.6
10,3300,0.092,32,12.5,35.5,-55,105,0.23,5000,80.0,990,500,UPJ1A332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2180,1960.0,MP,Normal,7.06
10,3300,0.092,45,16,20,-55,105,0.23,5000,110.0,990,600,UPJ1A332MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1850,1660.0,MP,Normal,6.6
10,3900,0.078,30,12.5,40,-55,105,0.23,5000,75.0,1170,400,UPJ1A392MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2360,2120.0,MP,Normal,7.57
10,3900,0.078,41,18,20,-55,105,0.23,5000,100.0,1170,400,UPJ1A392MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2050,1840.0,MP,Normal,9.0
10,4700,0.071,28,16,30.5,-55,105,0.25,5000,70.0,1410,300,UPJ1A472MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2420,2170.0,MP,Normal,9.6
10,4700,0.071,35,18,25,-55,105,0.25,5000,88.0,1410,300,UPJ1A472MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2250,2020.0,MP,Normal,10.6
10,5600,0.064,26,16,35.5,-55,105,0.27,5000,65.0,1680,300,UPJ1A562MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2610,2340.0,MP,Normal,11.8
10,5600,0.064,33,18,25,-55,105,0.27,5000,83.0,1680,300,UPJ1A562MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2340,2100.0,MP,Normal,10.6
10,6800,0.057,24,16,35.5,-55,105,0.29,5000,60.0,2040,300,UPJ1A682MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2680,2410.0,MP,Normal,11.8
10,6800,0.057,27,18,30.5,-55,105,0.29,5000,68.0,2040,300,UPJ1A682MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2540,2280.0,MP,Normal,13.1
10,8200,0.053,23,16,40,-55,105,0.33,5000,58.0,2460,300,UPJ1A822MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2820,2530.0,MP,Normal,14.1
10,8200,0.053,25,18,35.5,-55,105,0.33,5000,63.0,2460,250,UPJ1A822MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2690,2420.0,MP,Normal,14.2
10,10000,0.049,21,18,40,-55,105,0.37,5000,53.0,3000,200,UPJ1A103MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3040,2730.0,MP,Normal,17.7
16,47,4.515,1300,5,11,-55,105,0.16,2000,3300.0,23,6000,UPJ1C470MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,155,92.0,EOL,Normal,0.44
16,56,3.789,1100,5,11,-55,105,0.16,2000,2800.0,27,6000,UPJ1C560MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,175,105.0,EOL,Normal,0.44
16,68,3.121,780,6.3,11,-55,105,0.16,2000,2000.0,33,4000,UPJ1C680MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,220,135.0,EOL,Normal,0.59
16,82,2.588,660,6.3,11,-55,105,0.16,2000,1700.0,39,4000,UPJ1C820MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,240,155.0,EOL,Normal,0.59
16,100,2.122,550,6.3,11,-55,105,0.16,2000,1400.0,48,4000,UPJ1C101MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,265,175.0,EOL,Normal,0.59
16,120,1.768,450,6.3,11,-55,105,0.16,2000,1100.0,58,4000,UPJ1C121MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,290,195.0,EOL,Normal,0.59
16,150,1.415,370,6.3,15,-55,105,0.16,2000,930.0,72,4000,UPJ1C151MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,375,260.0,EOL,Normal,0.72
16,180,1.179,310,6.3,15,-55,105,0.16,2000,780.0,86,4000,UPJ1C181MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,405,285.0,EOL,Normal,0.72
16,220,0.965,260,8,11.5,-55,105,0.16,3000,650.0,106,3000,UPJ1C221MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,460,335.0,MP,Normal,1.19
16,270,0.786,220,8,15,-55,105,0.16,3000,550.0,130,2000,UPJ1C271MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,550,410.0,MP,Normal,1.36
16,270,0.786,220,10,12.5,-55,105,0.16,5000,550.0,130,2000,UPJ1C271MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,575,430.0,MP,Normal,1.49
16,330,0.643,180,8,15,-55,105,0.16,3000,450.0,158,2000,UPJ1C331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,595,455.0,MP,Normal,1.36
16,330,0.643,180,10,12.5,-55,105,0.16,5000,450.0,158,2000,UPJ1C331MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,625,480.0,MP,Normal,1.49
16,390,0.544,160,8,20,-55,105,0.16,3000,400.0,187,2000,UPJ1C391MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,730,570.0,MP,Normal,1.66
16,390,0.544,160,10,16,-55,105,0.16,5000,400.0,187,1800,UPJ1C391MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,730,570.0,MP,Normal,1.77
16,470,0.452,140,8,20,-55,105,0.16,3000,350.0,226,2000,UPJ1C471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,770,615.0,MP,Normal,1.66
16,470,0.452,140,10,16,-55,105,0.16,5000,350.0,226,1800,UPJ1C471MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,770,615.0,MP,Normal,1.77
16,560,0.379,120,10,20,-55,105,0.16,5000,300.0,269,1400,UPJ1C561MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,950,770.0,MP,Normal,2.34
16,560,0.379,130,12.5,15,-55,105,0.16,5000,330.0,269,1200,UPJ1C561MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,920,745.0,MP,Normal,2.96
16,680,0.312,100,10,20,-55,105,0.16,5000,250.0,326,1400,UPJ1C681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1020,845.0,MP,Normal,2.34
16,680,0.312,110,12.5,15,-55,105,0.16,5000,280.0,326,1200,UPJ1C681MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,985,815.0,MP,Normal,2.96
16,820,0.259,84,10,25,-55,105,0.16,5000,210.0,394,1200,UPJ1C821MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1220,1030.0,MP,Normal,3.07
16,820,0.259,96,12.5,15,-55,105,0.16,5000,240.0,394,1200,UPJ1C821MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1060,895.0,MP,Normal,2.96
16,1000,0.212,72,10,30.5,-55,105,0.16,5000,180.0,480,1000,UPJ1C102MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1410,1210.0,MP,Normal,3.21
16,1000,0.212,84,16,15,-55,105,0.16,5000,210.0,480,700,UPJ1C102MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1270,1090.0,MP,Normal,4.74
16,1200,0.177,60,12.5,20,-55,105,0.16,5000,150.0,576,1000,UPJ1C122MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1430,1250.0,MP,Normal,3.43
16,1200,0.177,72,16,15,-55,105,0.16,5000,180.0,576,700,UPJ1C122MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1390,1220.0,MP,Normal,4.74
16,1500,0.141,48,12.5,25,-55,105,0.16,5000,120.0,720,800,UPJ1C152MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1660,1490.0,MP,Normal,4.56
16,1500,0.141,66,18,15,-55,105,0.16,5000,170.0,720,400,UPJ1C152MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1560,1400.0,MP,Normal,6.31
16,1800,0.118,39,12.5,30.5,-55,105,0.16,5000,100.0,864,600,UPJ1C182MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1880,1690.0,MP,Normal,6.01
