Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Status,Vibration resistant,Weight (g)
6.3,22,14.469,1500,5,11,-55,105,0.24,2000,4,6000,UPS0J220MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,EOL,Normal,0.44
6.3,33,9.646,1500,5,11,-55,105,0.24,2000,6,6000,UPS0J330MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,EOL,Normal,0.44
6.3,47,6.773,1500,5,11,-55,105,0.24,2000,9,6000,UPS0J470MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,EOL,Normal,0.44
6.3,100,3.183,1500,5,11,-55,105,0.24,2000,19,6000,UPS0J101MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,EOL,Normal,0.44
6.3,150,2.122,500,6.3,11,-55,105,0.24,2000,28,4000,UPS0J151MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,250,EOL,Normal,0.59
6.3,220,1.447,500,6.3,11,-55,105,0.24,2000,42,4000,UPS0J221MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,250,EOL,Normal,0.59
6.3,330,0.965,500,6.3,11,-55,105,0.24,2000,62,4000,UPS0J331MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,250,EOL,Normal,0.59
6.3,470,0.677,280,8,11.5,-55,105,0.24,2000,89,3000,UPS0J471MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,410,MP,Normal,1.19
6.3,680,0.468,190,10,12.5,-55,105,0.24,2000,129,2000,UPS0J681MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,600,MP,Normal,1.49
6.3,1000,0.318,190,10,12.5,-55,105,0.24,2000,189,2000,UPS0J102MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,600,MP,Normal,1.49
6.3,1500,0.212,110,10,20,-55,105,0.24,2000,284,1400,UPS0J152MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1000,MP,Normal,2.34
6.3,2200,0.157,75,12.5,20,-55,105,0.26,3000,416,1000,UPS0J222MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1250,MP,Normal,3.43
6.3,3300,0.113,75,12.5,20,-55,105,0.28,3000,624,1000,UPS0J332MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1250,MP,Normal,3.43
6.3,4700,0.085,38,16,25,-55,105,0.3,3000,888,400,UPS0J472MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1900,MP,Normal,8.2
6.3,6800,0.066,38,16,25,-55,105,0.34,3000,1285,400,UPS0J682MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1900,MP,Normal,8.2
6.3,10000,0.056,33,16,30.5,-55,105,0.42,3000,1890,300,UPS0J103MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2350,MP,Normal,9.6
6.3,15000,0.046,30,18,35.5,-55,105,0.52,3000,2835,250,UPS0J153MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2700,MP,Normal,14.2
10,22,12.057,1500,5,11,-55,105,0.2,2000,7,6000,UPS1A220MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,EOL,Normal,0.44
10,33,8.038,1500,5,11,-55,105,0.2,2000,10,6000,UPS1A330MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,EOL,Normal,0.44
10,47,5.644,1500,5,11,-55,105,0.2,2000,14,6000,UPS1A470MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,EOL,Normal,0.44
10,100,2.653,1500,5,11,-55,105,0.2,2000,30,6000,UPS1A101MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,EOL,Normal,0.44
10,150,1.768,500,6.3,11,-55,105,0.2,2000,45,4000,UPS1A151MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,250,EOL,Normal,0.59
10,220,1.206,500,6.3,11,-55,105,0.2,2000,66,4000,UPS1A221MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,250,EOL,Normal,0.59
10,330,0.804,280,8,11.5,-55,105,0.2,2000,99,3000,UPS1A331MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,410,MP,Normal,1.19
10,470,0.564,280,8,11.5,-55,105,0.2,2000,141,3000,UPS1A471MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,410,MP,Normal,1.19
10,680,0.39,190,10,12.5,-55,105,0.2,2000,204,2000,UPS1A681MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,600,MP,Normal,1.49
10,1000,0.265,140,10,16,-55,105,0.2,2000,300,1800,UPS1A102MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,800,MP,Normal,1.77
10,1500,0.177,110,10,20,-55,105,0.2,2000,450,1400,UPS1A152MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1000,MP,Normal,2.34
10,2200,0.133,75,12.5,20,-55,105,0.22,3000,660,1000,UPS1A222MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1250,MP,Normal,3.43
10,3300,0.096,57,12.5,25,-55,105,0.24,3000,990,800,UPS1A332MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1550,MP,Normal,4.56
10,4700,0.073,38,16,25,-55,105,0.26,3000,1410,400,UPS1A472MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1900,MP,Normal,8.2
10,6800,0.059,33,16,30.5,-55,105,0.3,3000,2040,300,UPS1A682MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2350,MP,Normal,9.6
10,10000,0.05,30,18,35.5,-55,105,0.38,3000,3000,250,UPS1A103MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2700,MP,Normal,14.2
10,15000,0.042,27,18,40,-55,105,0.48,3000,4500,200,UPS1A153MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,3300,MP,Normal,17.7
16,10,21.221,1500,5,11,-55,105,0.16,2000,5,6000,UPS1C100MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,EOL,Normal,0.44
16,22,9.646,1500,5,11,-55,105,0.16,2000,11,6000,UPS1C220MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,EOL,Normal,0.44
16,33,6.431,1500,5,11,-55,105,0.16,2000,16,6000,UPS1C330MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,EOL,Normal,0.44
16,47,4.515,1500,5,11,-55,105,0.16,2000,23,6000,UPS1C470MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,EOL,Normal,0.44
16,100,2.122,500,6.3,11,-55,105,0.16,2000,48,4000,UPS1C101MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,250,EOL,Normal,0.59
16,150,1.415,500,6.3,11,-55,105,0.16,2000,72,4000,UPS1C151MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,250,EOL,Normal,0.59
16,220,0.965,280,8,11.5,-55,105,0.16,2000,106,3000,UPS1C221MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,410,MP,Normal,1.19
16,330,0.643,280,8,11.5,-55,105,0.16,2000,158,3000,UPS1C331MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,410,MP,Normal,1.19
16,470,0.452,190,10,12.5,-55,105,0.16,2000,226,2000,UPS1C471MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,600,MP,Normal,1.49
16,680,0.312,140,10,16,-55,105,0.16,2000,326,1800,UPS1C681MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,800,MP,Normal,1.77
16,1000,0.212,110,10,20,-55,105,0.16,2000,480,1400,UPS1C102MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1000,MP,Normal,2.34
16,1500,0.141,75,12.5,20,-55,105,0.16,3000,720,1000,UPS1C152MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1250,MP,Normal,3.43
16,2200,0.109,57,12.5,25,-55,105,0.18,3000,1056,800,UPS1C222MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1550,MP,Normal,4.56
16,3300,0.08,38,16,25,-55,105,0.2,3000,1584,400,UPS1C332MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1900,MP,Normal,8.2
16,4700,0.062,33,16,30.5,-55,105,0.22,3000,2256,300,UPS1C472MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2350,MP,Normal,9.6
16,6800,0.051,30,18,35.5,-55,105,0.26,3000,3264,250,UPS1C682MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2700,MP,Normal,14.2
16,10000,0.045,27,18,40,-55,105,0.34,3000,4800,200,UPS1C103MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,3300,MP,Normal,17.7
25,4.7,39.507,1500,5,11,-55,105,0.14,2000,4,6000,UPS1E4R7MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,EOL,Normal,0.44
25,10,18.568,1500,5,11,-55,105,0.14,2000,8,6000,UPS1E100MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,EOL,Normal,0.44
25,22,8.44,1500,5,11,-55,105,0.14,2000,17,6000,UPS1E220MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,EOL,Normal,0.44
25,33,5.627,1500,5,11,-55,105,0.14,2000,25,6000,UPS1E330MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,EOL,Normal,0.44
25,47,3.951,1500,5,11,-55,105,0.14,2000,35,6000,UPS1E470MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,EOL,Normal,0.44
25,100,1.857,500,6.3,11,-55,105,0.14,2000,75,4000,UPS1E101MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,250,EOL,Normal,0.59
25,150,1.238,280,8,11.5,-55,105,0.14,2000,113,3000,UPS1E151MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,410,MP,Normal,1.19
