Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,Vibration resistant,Weight (g)
6.3,22,13.263,0.6,5,11,-55,105,0.22,2000,1.2,4,6000,UPW0J220MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,180,EOL,Normal,0.44
6.3,33,8.842,0.6,5,11,-55,105,0.22,2000,1.2,6,6000,UPW0J330MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,180,EOL,Normal,0.44
6.3,47,6.208,0.6,5,11,-55,105,0.22,2000,1.2,9,6000,UPW0J470MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,180,EOL,Normal,0.44
6.3,100,2.918,0.6,5,11,-55,105,0.22,2000,1.2,19,6000,UPW0J101MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,180,EOL,Normal,0.44
6.3,150,1.945,0.25,6.3,11,-55,105,0.22,2000,0.5,28,4000,UPW0J151MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,290,EOL,Normal,0.59
6.3,220,1.326,0.25,6.3,11,-55,105,0.22,2000,0.5,42,4000,UPW0J221MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,290,EOL,Normal,0.59
6.3,330,0.884,0.25,6.3,11,-55,105,0.22,2000,0.5,62,4000,UPW0J331MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,290,EOL,Normal,0.59
6.3,330,0.884,0.23,6.3,15,-55,105,0.22,2000,0.46,62,4000,UPW0J331MED6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,430,EOL,Normal,0.72
6.3,470,0.621,0.117,8,11.5,-55,105,0.22,3000,0.234,89,3000,UPW0J471MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,555,MP,Normal,1.19
6.3,560,0.521,0.117,8,11.5,-55,105,0.22,3000,0.234,106,3000,UPW0J561MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,555,MP,Normal,1.19
6.3,680,0.429,0.09,10,12.5,-55,105,0.22,5000,0.18,129,2000,UPW0J681MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,755,MP,Normal,1.49
6.3,820,0.356,0.085,8,15,-55,105,0.22,3000,0.17,155,2000,UPW0J821MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,730,MP,Normal,1.36
6.3,820,0.356,0.09,10,12.5,-55,105,0.22,5000,0.18,155,2000,UPW0J821MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,755,MP,Normal,1.49
6.3,1000,0.292,0.09,10,12.5,-55,105,0.22,5000,0.18,189,2000,UPW0J102MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,755,MP,Normal,1.49
6.3,1200,0.243,0.065,8,20,-55,105,0.22,3000,0.13,227,2000,UPW0J122MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,995,MP,Normal,1.66
6.3,1200,0.243,0.068,10,16,-55,105,0.22,5000,0.136,227,1800,UPW0J122MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1050,MP,Normal,1.77
6.3,1500,0.195,0.052,10,20,-55,105,0.22,5000,0.104,284,1400,UPW0J152MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1220,MP,Normal,2.34
6.3,2200,0.145,0.045,10,25,-55,105,0.24,5000,0.09,416,1200,UPW0J222MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1440,MP,Normal,3.07
