Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@120Hz,Status,Vibration resistant,Weight (g)
6.3,22,16.88,5,11,-40,85,0.28,2000,4,6000,UVR0J220MDD,Uni-Polar,Radial Lead,Standard,65,EOL,Normal,0.44
6.3,33,11.253,5,11,-40,85,0.28,2000,6,6000,UVR0J330MDD,Uni-Polar,Radial Lead,Standard,80,EOL,Normal,0.44
6.3,47,7.901,5,11,-40,85,0.28,2000,9,6000,UVR0J470MDD,Uni-Polar,Radial Lead,Standard,95,EOL,Normal,0.44
6.3,100,3.714,5,11,-40,85,0.28,2000,19,6000,UVR0J101MDD,Uni-Polar,Radial Lead,Standard,135,EOL,Normal,0.44
6.3,220,1.688,5,11,-40,85,0.28,2000,42,6000,UVR0J221MDD,Uni-Polar,Radial Lead,Standard,200,EOL,Normal,0.44
6.3,330,1.125,6.3,11,-40,85,0.28,2000,62,4000,UVR0J331MED,Uni-Polar,Radial Lead,Standard,270,EOL,Normal,0.59
6.3,470,0.79,6.3,11,-40,85,0.28,2000,89,4000,UVR0J471MED,Uni-Polar,Radial Lead,Standard,320,EOL,Normal,0.59
6.3,1000,0.371,8,11.5,-40,85,0.28,2000,189,3000,UVR0J102MPD,Uni-Polar,Radial Lead,Standard,540,MP,Normal,1.19
6.3,2200,0.181,10,20,-40,85,0.3,2000,416,1400,UVR0J222MPD,Uni-Polar,Radial Lead,Standard,1000,MP,Normal,2.34
6.3,3300,0.129,10,20,-40,85,0.32,2000,624,1400,UVR0J332MPD,Uni-Polar,Radial Lead,Standard,1190,MP,Normal,2.34
6.3,4700,0.096,12.5,20,-40,85,0.34,2000,888,1000,UVR0J472MHD,Uni-Polar,Radial Lead,Standard,1550,MP,Normal,3.43
6.3,6800,0.074,12.5,25,-40,85,0.38,2000,1285,800,UVR0J682MHD,Uni-Polar,Radial Lead,Standard,1920,MP,Normal,4.56
6.3,10000,0.061,16,25,-40,85,0.46,2000,1890,400,UVR0J103MHD,Uni-Polar,Radial Lead,Standard,2350,MP,Normal,8.2
6.3,15000,0.05,16,35.5,-40,85,0.56,2000,2835,300,UVR0J153MHD,Uni-Polar,Radial Lead,Standard,2850,MP,Normal,11.8
6.3,22000,0.042,18,40,-40,85,0.7,2000,4158,200,UVR0J223MHD,Uni-Polar,Radial Lead,Standard,3350,MP,Normal,17.7
6.3,22000,0.042,22,30,-40,85,0.7,2000,4158,250,UVR0J223MRD6,Uni-Polar,Radial Lead,Standard,3200,EOL,Normal,16.6
6.3,33000,0.037,22,50,-40,85,0.92,2000,6237,250,UVR0J333MRD,Uni-Polar,Radial Lead,Standard,3900,EOL,Normal,27.4
