Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Status,Vibration resistant,Weight (g)
6.3,1000,0.371,8,11.5,-55,105,0.28,1000,189,3000,UVY0J102MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,390,MP,Normal,1.19
6.3,2200,0.181,10,16,-55,105,0.3,2000,416,1800,UVY0J222MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,635,MP,Normal,1.77
6.3,3300,0.129,10,20,-55,105,0.32,2000,624,1400,UVY0J332MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,840,MP,Normal,2.34
6.3,4700,0.096,12.5,20,-55,105,0.34,2000,888,1000,UVY0J472MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1090,MP,Normal,3.43
6.3,6800,0.074,12.5,25,-55,105,0.38,2000,1285,800,UVY0J682MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1350,MP,Normal,4.56
6.3,10000,0.061,16,25,-55,105,0.46,2000,1890,400,UVY0J103MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1650,MP,Normal,8.2
6.3,15000,0.05,16,30.5,-55,105,0.56,2000,2835,300,UVY0J153MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1820,MP,Normal,9.6
6.3,22000,0.042,18,35.5,-55,105,0.7,2000,4158,250,UVY0J223MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,2280,MP,Normal,14.2
6.3,33000,0.037,20,40,-55,105,0.92,2000,6237,150,UVY0J333MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,2500,EOL,Normal,19.6
10,220,1.447,5,11,-55,105,0.24,1000,66,6000,UVY1A221MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,155,EOL,Normal,0.44
10,330,0.965,6.3,11,-55,105,0.24,1000,99,4000,UVY1A331MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,210,EOL,Normal,0.59
10,470,0.677,6.3,11,-55,105,0.24,1000,141,4000,UVY1A471MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,250,EOL,Normal,0.59
10,1000,0.318,10,12.5,-55,105,0.24,2000,300,2000,UVY1A102MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,460,MP,Normal,1.49
10,2200,0.157,10,16,-55,105,0.26,2000,660,1800,UVY1A222MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,705,MP,Normal,1.77
10,3300,0.113,12.5,20,-55,105,0.28,2000,990,1000,UVY1A332MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1000,MP,Normal,3.43
