Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Ripple Current 85°C@120Hz
50,0.1,1591.551,5,11,0.12,1.1
50,0.15,1061.034,5,11,0.12,1.5
50,0.22,723.432,5,11,0.12,2.5
50,0.33,482.288,5,11,0.12,4.0
50,0.47,338.628,5,11,0.12,7.0
50,1,159.155,5,11,0.12,13.0
50,2.2,72.343,5,11,0.12,23.0
50,3.3,48.229,5,11,0.12,35.0
50,4.7,33.863,5,11,0.12,41.0
50,10,15.916,5,11,0.12,60.0
50,22,7.234,5,11,0.12,95.0
50,33,4.823,5,11,0.12,130.0
50,47,3.386,5,11,0.12,135.0
50,100,1.592,6.3,11,0.12,215.0
50,220,0.723,8,11.5,0.12,370.0
50,330,0.482,10,12.5,0.12,500.0
50,470,0.339,10,16,0.12,680.0
50,1000,0.159,10,20,0.12,970.0
50,2200,0.072,12.5,20,0.12,1180.0
50,3300,0.048,16,25,0.12,2000.0
50,4700,0.034,16,31.5,0.12,2440.0
50,6800,0.023,18,35.5,0.12,2900.0
63,10,13.263,5,11,0.1,70.0
63,22,6.029,5,11,0.1,110.0
63,33,4.019,6.3,11,0.1,140.0
63,47,2.822,6.3,11,0.1,190.0
63,100,1.326,8,11.5,0.1,270.0
63,220,0.603,10,12.5,0.1,435.0
63,330,0.402,10,16,0.1,590.0
63,470,0.282,10,20,0.1,760.0
63,1000,0.133,12.5,25,0.1,1350.0
63,2200,0.06,16,35.5,0.1,2110.0
63,3300,0.04,18,35.5,0.1,2540.0
63,4700,0.028,18,35.5,0.1,2740.0
100,0.47,225.752,5,11,0.08,8.0
100,1,106.103,5,11,0.08,16.0
100,2.2,48.229,5,11,0.08,35.0
100,3.3,32.153,5,11,0.08,45.0
100,4.7,22.575,5,11,0.08,50.0
100,10,10.61,5,11,0.08,75.0
100,22,4.823,6.3,11,0.08,135.0
100,33,3.215,8,11.5,0.08,185.0
100,47,2.258,10,12.5,0.08,235.0
100,100,1.061,10,20,0.08,380.0
100,220,0.482,12.5,25,0.08,629.0
100,330,0.322,12.5,25,0.08,760.0
100,470,0.226,16,25,0.08,950.0
100,1000,0.106,18,40,0.08,1350.0
160,4.7,56.438,6.3,11,0.2,45.0
160,10,26.526,8,11.5,0.2,83.0
160,22,12.057,10,16,0.2,133.0
160,33,8.038,10,20,0.2,180.0
160,47,5.644,12.5,20,0.2,230.0
160,100,2.653,12.5,25,0.2,385.0
160,220,1.206,16,35.5,0.2,645.0
160,330,0.804,18,35.5,0.2,760.0
200,3.3,80.381,6.3,11,0.2,36.0
200,4.7,56.438,8,11.5,0.2,51.0
200,10,26.526,10,12.5,0.2,85.0
200,22,12.057,10,20,0.2,135.0
200,33,8.038,12.5,20,0.2,205.0
200,47,5.644,12.5,20,0.2,230.0
200,100,2.653,16,25,0.2,400.0
200,220,1.206,18,35.5,0.2,680.0
250,0.47,564.38,6.3,11,0.2,8.0
250,1,265.258,6.3,11,0.2,16.0
250,2.2,120.572,6.3,11,0.2,30.0
250,3.3,80.381,8,11.5,0.2,45.0
250,4.7,56.438,8,11.5,0.2,54.0
250,10,26.526,10,16,0.2,90.0
250,22,12.057,12.5,20,0.2,150.0
250,33,8.038,12.5,20,0.2,205.0
250,47,5.644,12.5,25,0.2,260.0
250,100,2.653,16,31.5,0.2,450.0
350,0.47,564.38,6.3,11,0.2,8.0
350,1,265.258,6.3,11,0.2,16.0
350,2.2,120.572,8,11.5,0.2,31.0
350,3.3,80.381,10,12.5,0.2,45.0
350,4.7,56.438,10,12.5,0.2,56.0
350,10,26.526,10,20,0.2,100.0
350,22,12.057,12.5,25,0.2,185.0
350,33,8.038,16,25,0.2,230.0
350,47,5.644,16,31.5,0.2,280.0
350,100,2.653,18,40,0.2,420.0
400,0.47,564.38,6.3,11,0.2,8.0
400,1,265.258,6.3,11,0.2,16.0
