Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Ripple Current 105°C@120Hz
6.3,100,3.448,5,11,0.26,96.0
6.3,220,1.567,5,11,0.26,160.0
6.3,330,1.045,6.3,11,0.26,210.0
6.3,470,0.734,6.3,11,0.26,275.0
6.3,1000,0.345,8,11.5,0.26,460.0
6.3,2200,0.157,10,20,0.26,775.0
6.3,3300,0.104,10,20,0.26,985.0
6.3,4700,0.073,12.5,20,0.26,1150.0
6.3,6800,0.051,12.5,25,0.26,1480.0
6.3,10000,0.034,16,25,0.26,1700.0
6.3,15000,0.023,16,35.5,0.26,2090.0
6.3,22000,0.016,18,40,0.26,2350.0
10,100,2.918,5,11,0.22,105.0
10,220,1.326,6.3,11,0.22,175.0
10,330,0.884,6.3,11,0.22,235.0
10,470,0.621,8,11.5,0.22,295.0
10,1000,0.292,10,12.5,0.22,540.0
10,2200,0.133,10,20,0.22,860.0
10,3300,0.088,12.5,20,0.22,1100.0
10,4700,0.062,12.5,25,0.22,1350.0
10,6800,0.043,16,25,0.22,1700.0
10,10000,0.029,16,35.5,0.22,1950.0
10,15000,0.019,18,35.5,0.22,2180.0
16,100,2.387,5,11,0.18,130.0
16,220,1.085,6.3,11,0.18,220.0
16,330,0.723,8,11.5,0.18,270.0
16,470,0.508,8,11.5,0.18,375.0
16,1000,0.239,10,16,0.18,640.0
16,2200,0.109,12.5,20,0.18,1050.0
16,3300,0.072,12.5,25,0.18,1300.0
16,4700,0.051,16,25,0.18,1650.0
16,6800,0.035,16,31.5,0.18,1900.0
16,10000,0.024,18,35.5,0.18,2070.0
25,33,6.431,5,11,0.16,69.0
25,47,4.515,5,11,0.16,80.0
25,100,2.122,6.3,11,0.16,140.0
25,220,0.965,8,11.5,0.16,240.0
25,330,0.643,10,12.5,0.16,335.0
25,470,0.452,10,12.5,0.16,440.0
25,1000,0.212,10,20,0.16,740.0
25,2200,0.096,12.5,25,0.16,1230.0
25,3300,0.064,16,25,0.16,1500.0
25,4700,0.045,16,31.5,0.16,1800.0
25,6800,0.031,18,35.5,0.16,2050.0
35,33,5.627,5,11,0.14,77.0
35,47,3.951,5,11,0.14,84.0
35,100,1.857,6.3,11,0.14,170.0
35,220,0.844,10,12.5,0.14,300.0
35,330,0.563,10,12.5,0.14,400.0
35,470,0.395,10,16,0.14,525.0
35,1000,0.186,12.5,20,0.14,865.0
35,2200,0.084,16,25,0.14,1370.0
35,3300,0.056,16,35.5,0.14,1680.0
35,4700,0.04,18,35.5,0.14,1920.0
50,0.1,1591.551,5,11,0.12,1.0
50,0.15,1061.034,5,11,0.12,1.5
50,0.22,723.432,5,11,0.12,2.5
50,0.33,482.288,5,11,0.12,4.0
50,0.47,338.628,5,11,0.12,7.0
50,1,159.155,5,11,0.12,13.0
50,2.2,72.343,5,11,0.12,20.0
50,3.3,48.229,5,11,0.12,25.0
50,4.7,33.863,5,11,0.12,32.0
50,10,15.916,5,11,0.12,47.0
50,22,7.234,5,11,0.12,70.0
50,33,4.823,5,11,0.12,94.0
50,47,3.386,6.3,11,0.12,115.0
50,100,1.592,8,11.5,0.12,200.0
50,220,0.723,10,12.5,0.12,300.0
50,330,0.482,10,12.5,0.12,400.0
50,470,0.339,10,20,0.12,600.0
50,1000,0.159,12.5,25,0.12,1060.0
50,2200,0.072,16,35.5,0.12,1600.0
63,10,13.263,5,11,0.1,48.0
63,22,6.029,5,11,0.1,80.0
63,33,4.019,6.3,11,0.1,100.0
63,47,2.822,6.3,11,0.1,140.0
63,100,1.326,10,12.5,0.1,230.0
63,220,0.603,10,16,0.1,390.0
63,330,0.402,10,20,0.1,540.0
63,470,0.282,12.5,20,0.1,700.0
63,1000,0.133,16,25,0.1,1200.0
63,2200,0.06,18,35.5,0.1,1650.0
63,3300,0.04,18,35.5,0.1,1780.0
100,0.47,225.752,5,11,0.08,8.0
100,1,106.103,5,11,0.08,15.0
100,2.2,48.229,5,11,0.08,21.0
100,3.3,32.153,5,11,0.08,30.0
100,4.7,22.575,5,11,0.08,35.0
100,10,10.61,5,11,0.08,60.0
100,22,4.823,6.3,11,0.08,98.0
100,33,3.215,8,11.5,0.08,140.0
100,47,2.258,10,12.5,0.08,185.0
100,100,1.061,10,20,0.08,290.0
100,220,0.482,12.5,25,0.08,560.0
100,330,0.322,12.5,25,0.08,690.0
100,470,0.226,16,25,0.08,880.0
100,1000,0.106,18,40,0.08,985.0
160,4.7,56.438,6.3,11,0.2,43.0
160,10,26.526,8,11.5,0.2,77.0
160,22,12.057,10,16,0.2,125.0
160,33,8.038,10,20,0.2,170.0
160,47,5.644,12.5,20,0.2,210.0
160,100,2.653,12.5,25,0.2,320.0
160,220,1.206,16,35.5,0.2,580.0
160,330,0.804,18,35.5,0.2,700.0
200,3.3,80.381,6.3,11,0.2,36.0
200,4.7,56.438,8,11.5,0.2,50.0
200,10,26.526,10,12.5,0.2,80.0
200,22,12.057,10,20,0.2,135.0
200,33,8.038,12.5,20,0.2,200.0
200,47,5.644,12.5,20,0.2,220.0
200,100,2.653,16,25,0.2,340.0
200,220,1.206,18,35.5,0.2,580.0
250,0.47,564.38,6.3,11,0.2,8.0
250,1,265.258,6.3,11,0.2,16.0
250,2.2,120.572,6.3,11,0.2,30.0
250,3.3,80.381,8,11.5,0.2,43.0
250,4.7,56.438,8,11.5,0.2,53.0
250,10,26.526,10,16,0.2,90.0
250,22,12.057,12.5,20,0.2,150.0
250,33,8.038,12.5,20,0.2,200.0
250,47,5.644,12.5,25,0.2,240.0
250,100,2.653,16,31.5,0.2,400.0
350,0.47,677.256,6.3,11,0.24,8.0
350,1,318.31,6.3,11,0.24,16.0
350,2.2,144.686,8,11.5,0.24,31.0
350,3.3,96.458,10,12.5,0.24,45.0
350,4.7,67.726,10,12.5,0.24,55.0
350,10,31.831,10,20,0.24,95.0
350,22,14.469,12.5,25,0.24,175.0
350,33,9.646,16,25,0.24,220.0
350,47,6.773,16,31.5,0.24,260.0
350,100,3.183,18,40,0.24,415.0
400,1,318.31,6.3,11,0.24,16.0
400,2.2,144.686,10,12.5,0.24,31.0
400,3.3,96.458,10,12.5,0.24,41.0
400,4.7,67.726,10,16,0.24,55.0
400,10,31.831,12.5,20,0.24,85.0
400,22,14.469,12.5,25,0.24,170.0
400,33,9.646,16,25,0.24,220.0
400,47,6.773,16,31.5,0.24,275.0
400,100,3.183,18,40,0.24,415.0
450,1,318.31,8,11.5,0.24,15.0
450,2.2,144.686,10,12.5,0.24,25.0
450,3.3,96.458,10,16,0.24,33.0
450,4.7,67.726,10,20,0.24,42.0
450,10,31.831,12.5,20,0.24,67.0
450,22,14.469,16,25,0.24,115.0
450,33,9.646,16,31.5,0.24,155.0
450,47,6.773,16,35.5,0.24,185.0
