Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C@100kHz,Ripple Current
6.3,220,1.326,0.4,5,11,0.22,1.2,345
6.3,470,0.621,0.17,6.3,11,0.22,0.51,540
6.3,820,0.356,0.075,8,11.5,0.22,0.23,945
6.3,1000,0.292,0.059,8,16,0.22,0.18,1250
6.3,1200,0.243,0.053,10,12.5,0.22,0.16,1330
6.3,1500,0.195,0.041,8,20,0.22,0.13,1500
6.3,1800,0.162,0.038,10,16,0.22,0.12,1760
6.3,2700,0.108,0.028,10,20,0.22,0.084,1960
6.3,3300,0.088,0.024,10,25,0.22,0.072,2250
6.3,3900,0.075,0.025,12.5,20,0.22,0.075,2480
6.3,4700,0.062,0.019,12.5,25,0.22,0.057,2900
6.3,5600,0.052,0.018,12.5,30,0.22,0.054,3450
6.3,6800,0.043,0.016,12.5,35,0.22,0.048,3570
6.3,6800,0.043,0.021,16,20,0.22,0.063,3250
6.3,8200,0.036,0.017,16,25,0.22,0.051,3630
10,150,1.68,0.4,5,11,0.19,1.2,450
10,330,0.764,0.17,6.3,11,0.19,0.51,700
10,560,0.45,0.075,8,11.5,0.19,0.23,1200
10,680,0.371,0.059,8,16,0.19,0.18,1600
10,820,0.307,0.053,10,12.5,0.19,0.16,1700
10,1000,0.252,0.041,8,20,0.19,0.13,1960
10,1200,0.21,0.038,10,16,0.19,0.12,2000
10,1800,0.14,0.028,10,20,0.19,0.084,2500
10,2200,0.115,0.024,10,25,0.19,0.072,2900
10,2700,0.093,0.025,12.5,20,0.19,0.075,2600
10,3300,0.076,0.019,12.5,25,0.19,0.057,3200
10,4700,0.054,0.018,12.5,30,0.19,0.054,3660
10,4700,0.054,0.021,16,20,0.19,0.063,3330
10,5600,0.045,0.016,12.5,35,0.19,0.048,4120
10,5600,0.045,0.017,16,25,0.19,0.051,3810
16,120,1.768,0.4,5,11,0.16,1.2,450
16,270,0.786,0.17,6.3,11,0.16,0.51,700
16,470,0.452,0.075,8,11.5,0.16,0.23,1200
16,560,0.379,0.059,8,16,0.16,0.18,1600
16,680,0.312,0.059,8,16,0.16,0.18,1600
16,680,0.312,0.053,10,12.5,0.16,0.16,1700
16,820,0.259,0.041,8,20,0.16,0.13,1960
16,1000,0.212,0.041,8,20,0.16,0.13,1960
16,1000,0.212,0.038,10,16,0.16,0.12,2000
16,1500,0.141,0.028,10,20,0.16,0.084,2500
16,1800,0.118,0.024,10,25,0.16,0.072,2900
16,2200,0.096,0.025,12.5,20,0.16,0.075,2600
16,2700,0.079,0.019,12.5,25,0.16,0.057,3200
16,3300,0.064,0.018,12.5,30,0.16,0.054,3660
16,3300,0.064,0.021,16,20,0.16,0.063,3330
16,3900,0.054,0.016,12.5,35,0.16,0.048,4120
16,4700,0.045,0.017,16,25,0.16,0.051,3810
