Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C@100kHz,Ripple Current
6.3,270,1.081,0.21,5,11,0.22,0.77,400
6.3,680,0.429,0.092,6.3,11,0.22,0.34,620
6.3,1200,0.243,0.049,8,11.5,0.22,0.15,1060
6.3,1500,0.195,0.038,8,16,0.22,0.12,1390
6.3,1800,0.162,0.035,10,12.5,0.22,0.11,1470
6.3,2200,0.133,0.027,8,20,0.22,0.081,1660
6.3,2700,0.108,0.025,10,16,0.22,0.075,1930
6.3,3900,0.075,0.018,10,20,0.22,0.054,2130
6.3,4700,0.062,0.015,10,25,0.22,0.045,2500
6.3,5600,0.052,0.016,12.5,20,0.22,0.041,2690
6.3,8200,0.036,0.013,12.5,25,0.22,0.033,3140
6.3,8200,0.036,0.012,12.5,30,0.22,0.03,3680
6.3,10000,0.029,0.014,16,20,0.22,0.035,3500
6.3,10000,0.029,0.01,12.5,35,0.22,0.025,3800
6.3,12000,0.024,0.011,16,25,0.22,0.028,3880
10,220,1.145,0.21,5,11,0.19,0.77,400
10,470,0.536,0.092,6.3,11,0.19,0.34,620
10,820,0.307,0.049,8,11.5,0.19,0.15,1060
10,1200,0.21,0.038,8,16,0.19,0.12,1390
10,1200,0.21,0.035,10,12.5,0.19,0.11,1470
10,1800,0.14,0.027,8,20,0.19,0.081,1660
10,1800,0.14,0.025,10,16,0.19,0.075,1930
10,2700,0.093,0.018,10,20,0.19,0.054,2130
10,3300,0.076,0.015,10,25,0.19,0.045,2500
10,3900,0.065,0.016,12.5,20,0.19,0.041,2690
10,5600,0.045,0.013,12.5,25,0.19,0.033,3140
10,6800,0.037,0.012,12.5,30,0.19,0.03,3680
10,6800,0.037,0.014,16,20,0.19,0.035,3500
10,8200,0.031,0.01,12.5,35,0.19,0.025,3800
10,8200,0.031,0.011,16,25,0.19,0.028,3880
16,150,1.415,0.21,5,11,0.16,0.77,400
16,330,0.643,0.092,6.3,11,0.16,0.34,620
16,560,0.379,0.049,8,11.5,0.16,0.15,1060
16,820,0.259,0.038,8,16,0.16,0.12,1390
16,820,0.259,0.035,10,12.5,0.16,0.11,1470
16,1200,0.177,0.027,8,20,0.16,0.081,1660
16,1200,0.177,0.025,10,16,0.16,0.075,1930
16,1800,0.118,0.018,10,20,0.16,0.054,2130
16,2200,0.096,0.015,10,25,0.16,0.045,2500
16,2700,0.079,0.016,12.5,20,0.16,0.041,2690
16,3900,0.054,0.013,12.5,25,0.16,0.033,3140
16,3900,0.054,0.012,12.5,30,0.16,0.03,3680
16,4700,0.045,0.014,16,20,0.16,0.035,3500
16,5600,0.038,0.01,12.5,35,0.16,0.025,3800
16,5600,0.038,0.011,16,25,0.16,0.028,3880
25,82,2.264,0.21,5,11,0.14,0.77,400
25,180,1.032,0.092,6.3,11,0.14,0.34,620
25,330,0.563,0.049,8,11.5,0.14,0.15,1060
25,470,0.395,0.038,8,16,0.14,0.12,1390
25,560,0.332,0.035,10,12.5,0.14,0.11,1470
25,680,0.273,0.027,8,20,0.14,0.081,1660
25,820,0.226,0.025,10,16,0.14,0.075,1930
25,1200,0.155,0.018,10,20,0.14,0.054,2130
25,1500,0.124,0.015,10,25,0.14,0.045,2500
25,1800,0.103,0.016,12.5,20,0.14,0.041,2690
25,2200,0.084,0.013,12.5,25,0.14,0.033,3140
25,2700,0.069,0.012,12.5,30,0.14,0.03,3680
25,2700,0.069,0.014,16,20,0.14,0.035,3500
25,3300,0.056,0.01,12.5,35,0.14,0.025,3800
25,3900,0.048,0.011,16,25,0.14,0.028,3880
35,56,2.842,0.21,5,11,0.12,0.77,400
35,120,1.326,0.092,6.3,11,0.12,0.34,620
35,220,0.723,0.049,8,11.5,0.12,0.15,1060
35,270,0.589,0.038,8,16,0.12,0.12,1390
35,330,0.482,0.035,10,12.5,0.12,0.11,1470
35,390,0.408,0.027,8,20,0.12,0.081,1660
35,470,0.339,0.025,10,16,0.12,0.075,1930
35,680,0.234,0.018,10,20,0.12,0.054,2130
35,820,0.194,0.015,10,25,0.12,0.045,2500
35,1000,0.159,0.016,12.5,20,0.12,0.041,2690
35,1500,0.106,0.013,12.5,25,0.12,0.033,3140
35,1500,0.106,0.012,12.5,30,0.12,0.03,3680
35,1800,0.088,0.014,16,20,0.12,0.035,3500
35,2200,0.072,0.01,12.5,35,0.12,0.025,3800
35,2200,0.072,0.011,16,25,0.12,0.028,3880
